t	x	y
0.000000000E0	1.379439252E2	-1.417570093E3
1.026272578E-1	1.379579942E2	-1.420506396E3
2.052545156E-1	1.389185761E2	-1.424474504E3
3.078817734E-1	1.412329403E2	-1.426968607E3
4.105090312E-1	1.441671175E2	-1.426378904E3
5.131362890E-1	1.462792376E2	-1.428347108E3
6.157635468E-1	1.483316213E2	-1.430424721E3
7.183908046E-1	1.502805743E2	-1.431761776E3
8.210180624E-1	1.515064556E2	-1.433354183E3
9.236453202E-1	1.537418154E2	-1.432328067E3
1.026272578E0	1.560376721E2	-1.433583597E3
1.128899836E0	1.561679307E2	-1.434227757E3
1.231527094E0	1.579228743E2	-1.431271102E3
1.334154351E0	1.600269624E2	-1.431409007E3
1.436781609E0	1.619227476E2	-1.432699443E3
1.539408867E0	1.661261331E2	-1.437310544E3
1.642036125E0	1.690344550E2	-1.440686824E3
1.744663383E0	1.717383025E2	-1.444088635E3
1.847290640E0	1.741141326E2	-1.446933806E3
1.949917898E0	1.757559379E2	-1.449052984E3
2.052545156E0	1.748334368E2	-1.450762456E3
2.155172414E0	1.766089681E2	-1.451716385E3
2.257799672E0	1.782096383E2	-1.453873635E3
2.360426929E0	1.780938345E2	-1.456879891E3
2.463054187E0	1.769777340E2	-1.459918894E3
2.565681445E0	1.768261993E2	-1.464531884E3
2.668308703E0	1.789959286E2	-1.467770000E3
2.770935961E0	1.811593100E2	-1.469394133E3
2.873563218E0	1.834757916E2	-1.471862778E3
2.976190476E0	1.880307906E2	-1.474456753E3
3.078817734E0	1.898444956E2	-1.477363088E3
3.181444992E0	1.929537031E2	-1.480760071E3
3.284072250E0	1.939777037E2	-1.485241198E3
3.386699507E0	1.940340927E2	-1.487441629E3
3.489326765E0	1.973983298E2	-1.489460081E3
3.591954023E0	1.986629334E2	-1.490616776E3
3.694581281E0	2.006204380E2	-1.492469866E3
3.797208539E0	1.997989098E2	-1.496627254E3
3.899835796E0	2.005083939E2	-1.497726020E3
4.002463054E0	2.054043853E2	-1.497946875E3
4.105090312E0	2.102903317E2	-1.499598891E3
4.207717570E0	2.131042383E2	-1.503662461E3
4.310344828E0	2.159553515E2	-1.506688684E3
4.412972085E0	2.170144174E2	-1.509798084E3
4.515599343E0	2.167901980E2	-1.510668243E3
4.618226601E0	2.179716723E2	-1.510537782E3
4.720853859E0	2.188865802E2	-1.511614140E3
4.823481117E0	2.209728879E2	-1.514076176E3
4.926108374E0	2.235975426E2	-1.514765311E3
5.028735632E0	2.261490518E2	-1.516725157E3
5.131362890E0	2.288912942E2	-1.518830817E3
5.233990148E0	2.307978044E2	-1.518252308E3
5.336617406E0	2.336661231E2	-1.520742136E3
5.439244663E0	2.388903806E2	-1.524219162E3
5.541871921E0	2.438615707E2	-1.524980660E3
5.644499179E0	2.457897722E2	-1.525184333E3
