t	x	y
0.000000000E0	1.595887850E3	-2.534579439E2
1.026272578E-1	1.596670348E3	-2.532359811E2
2.052545156E-1	1.598151151E3	-2.516308082E2
3.078817734E-1	1.597793166E3	-2.509566364E2
4.105090312E-1	1.597842393E3	-2.497072847E2
5.131362890E-1	1.599739436E3	-2.488506389E2
6.157635468E-1	1.600993759E3	-2.489020261E2
7.183908046E-1	1.600400457E3	-2.501655224E2
8.210180624E-1	1.601302209E3	-2.507620959E2
9.236453202E-1	1.601198059E3	-2.544960668E2
1.026272578E0	1.603011054E3	-2.560578941E2
1.128899836E0	1.604949651E3	-2.575210339E2
1.231527094E0	1.605568368E3	-2.613183802E2
1.334154351E0	1.605761515E3	-2.633215686E2
1.436781609E0	1.607060114E3	-2.658294329E2
1.539408867E0	1.609260631E3	-2.670866248E2
1.642036125E0	1.610715222E3	-2.687847077E2
1.744663383E0	1.611690169E3	-2.693286354E2
1.847290640E0	1.611276081E3	-2.676831032E2
1.949917898E0	1.612502542E3	-2.694224831E2
2.052545156E0	1.612612847E3	-2.715792205E2
2.155172414E0	1.612838562E3	-2.718376341E2
2.257799672E0	1.613674796E3	-2.723843350E2
2.360426929E0	1.612718632E3	-2.744298183E2
2.463054187E0	1.612773066E3	-2.757017629E2
2.565681445E0	1.613984610E3	-2.774938016E2
2.668308703E0	1.614010705E3	-2.767143916E2
2.770935961E0	1.615489105E3	-2.764750472E2
2.873563218E0	1.615614717E3	-2.768260334E2
2.976190476E0	1.615698733E3	-2.785273946E2
3.078817734E0	1.616785247E3	-2.788673482E2
3.181444992E0	1.617456658E3	-2.791099214E2
3.284072250E0	1.618335218E3	-2.796316502E2
3.386699507E0	1.621810231E3	-2.836057616E2
3.489326765E0	1.624503873E3	-2.857307139E2
3.591954023E0	1.624680656E3	-2.856405562E2
3.694581281E0	1.625610169E3	-2.854121933E2
3.797208539E0	1.626194047E3	-2.842649489E2
3.899835796E0	1.626141217E3	-2.853335145E2
4.002463054E0	1.625954155E3	-2.890134989E2
4.105090312E0	1.627442555E3	-2.913851500E2
4.207717570E0	1.627977004E3	-2.922536818E2
4.310344828E0	1.629974069E3	-2.921567945E2
4.412972085E0	1.629425981E3	-2.931604043E2
4.515599343E0	1.630910524E3	-2.944493802E2
