t	x	y
0.000000000E0	1.737196262E3	-5.091588785E2
1.026272578E-1	1.736674445E3	-5.131043626E2
2.052545156E-1	1.736630191E3	-5.148254990E2
3.078817734E-1	1.739513264E3	-5.152650485E2
4.105090312E-1	1.741597013E3	-5.164639726E2
5.131362890E-1	1.741962250E3	-5.179690735E2
6.157635468E-1	1.742166127E3	-5.200125964E2
7.183908046E-1	1.741421390E3	-5.210156411E2
8.210180624E-1	1.743039224E3	-5.228127519E2
9.236453202E-1	1.745735663E3	-5.226475001E2
1.026272578E0	1.747261261E3	-5.233369079E2
1.128899836E0	1.750436605E3	-5.246686063E2
1.231527094E0	1.751923524E3	-5.278921430E2
1.334154351E0	1.750995818E3	-5.300003104E2
1.436781609E0	1.750065186E3	-5.331641195E2
1.539408867E0	1.752007716E3	-5.363872894E2
1.642036125E0	1.755110867E3	-5.376524786E2
1.744663383E0	1.755915122E3	-5.399349646E2
1.847290640E0	1.756349418E3	-5.389883111E2
1.949917898E0	1.758591065E3	-5.394668339E2
2.052545156E0	1.761142792E3	-5.393182091E2
2.155172414E0	1.762241967E3	-5.392709067E2
2.257799672E0	1.763974663E3	-5.411753017E2
2.360426929E0	1.765852347E3	-5.435189259E2
2.463054187E0	1.764436207E3	-5.420703247E2
2.565681445E0	1.764616307E3	-5.424547710E2
2.668308703E0	1.766180898E3	-5.441200957E2
2.770935961E0	1.767662917E3	-5.452695191E2
2.873563218E0	1.767246796E3	-5.478136542E2
2.976190476E0	1.768585551E3	-5.480286205E2
3.078817734E0	1.768820078E3	-5.471563127E2
3.181444992E0	1.768240756E3	-5.461524962E2
3.284072250E0	1.768866647E3	-5.478229518E2
3.386699507E0	1.770476026E3	-5.492071275E2
3.489326765E0	1.773139883E3	-5.508229421E2
3.591954023E0	1.774799862E3	-5.519956672E2
3.694581281E0	1.778040957E3	-5.520301336E2
3.797208539E0	1.778220067E3	-5.529054828E2
3.899835796E0	1.778895629E3	-5.529022302E2
4.002463054E0	1.779149791E3	-5.549848990E2
4.105090312E0	1.781005496E3	-5.559365120E2
4.207717570E0	1.781859948E3	-5.557363268E2
4.310344828E0	1.781302130E3	-5.570164190E2
4.412972085E0	1.782253713E3	-5.584854908E2
4.515599343E0	1.783312523E3	-5.575333850E2
4.618226601E0	1.782120647E3	-5.585598986E2
4.720853859E0	1.783170726E3	-5.598372981E2
4.823481117E0	1.785329615E3	-5.607688405E2
4.926108374E0	1.787804990E3	-5.611634742E2
5.028735632E0	1.787961208E3	-5.644974460E2
5.131362890E0	1.788482096E3	-5.671503091E2
5.233990148E0	1.788322628E3	-5.688737035E2
5.336617406E0	1.787416463E3	-5.707374271E2
5.439244663E0	1.787115963E3	-5.730165253E2
5.541871921E0	1.789144170E3	-5.743963696E2
5.644499179E0	1.788933695E3	-5.764233815E2
5.747126437E0	1.790113387E3	-5.790710469E2
5.849753695E0	1.791040177E3	-5.802921283E2
5.952380952E0	1.790214330E3	-5.821359092E2
6.055008210E0	1.789113285E3	-5.847592877E2
6.157635468E0	1.791326053E3	-5.850193150E2
6.260262726E0	1.793073961E3	-5.827729158E2
6.362889984E0	1.794112080E3	-5.839997456E2
6.465517241E0	1.795583764E3	-5.863006577E2
6.568144499E0	1.797357545E3	-5.880984300E2
6.670771757E0	1.797444946E3	-5.892402393E2
6.773399015E0	1.798213400E3	-5.914833443E2
6.876026273E0	1.799630169E3	-5.949123426E2
6.978653530E0	1.800000661E3	-5.945675590E2
7.081280788E0	1.801164181E3	-5.956538735E2
7.183908046E0	1.801496934E3	-5.953974868E2
7.286535304E0	1.802395322E3	-5.955995163E2
7.389162562E0	1.802997417E3	-5.955152574E2
7.491789819E0	1.803898265E3	-5.962825336E2
7.594417077E0	1.805353071E3	-5.960380095E2
7.697044335E0	1.803435013E3	-5.954806664E2
7.799671593E0	1.802321875E3	-5.949133954E2
7.902298851E0	1.803298555E3	-5.958163182E2
8.004926108E0	1.804034668E3	-5.979313827E2
8.107553366E0	1.807329204E3	-5.987484779E2
8.210180624E0	1.809591918E3	-5.980308748E2
8.312807882E0	1.810942848E3	-5.979236121E2
8.415435140E0	1.813220562E3	-5.982740298E2
8.518062397E0	1.815729249E3	-5.971570031E2
8.620689655E0	1.819251026E3	-5.979782520E2
8.723316913E0	1.822195059E3	-5.978151787E2
8.825944171E0	1.824065854E3	-5.991066208E2
8.928571429E0	1.824105644E3	-6.001122923E2
9.031198686E0	1.824216879E3	-6.024072160E2
9.133825944E0	1.825062629E3	-6.023109494E2
9.236453202E0	1.826564723E3	-6.047032205E2
9.339080460E0	1.827881086E3	-6.043503384E2
9.441707718E0	1.829239291E3	-6.044879612E2
9.544334975E0	1.831586943E3	-6.057023409E2
9.646962233E0	1.832254047E3	-6.061811748E2
9.749589491E0	1.832871417E3	-6.055394082E2
9.852216749E0	1.832789936E3	-6.079539772E2
9.954844007E0	1.833128856E3	-6.107340436E2
1.005747126E1	1.834464140E3	-6.113541452E2
1.016009852E1	1.836110817E3	-6.130401576E2
1.026272578E1	1.836761608E3	-6.149251222E2
1.036535304E1	1.836476575E3	-6.153030905E2
1.046798030E1	1.836490905E3	-6.150950239E2
1.057060755E1	1.837025065E3	-6.159249579E2
1.067323481E1	1.835079905E3	-6.188149900E2
1.077586207E1	1.834316344E3	-6.204847869E2
1.087848933E1	1.836491573E3	-6.211199456E2
1.098111658E1	1.838436925E3	-6.208681722E2
1.108374384E1	1.839458709E3	-6.224426385E2
1.118637110E1	1.842126202E3	-6.242052606E2
1.128899836E1	1.843182088E3	-6.255064653E2
1.139162562E1	1.843046131E3	-6.253539629E2
1.149425287E1	1.843276867E3	-6.248898875E2
1.159688013E1	1.844993719E3	-6.251155014E2
1.169950739E1	1.846665391E3	-6.258215083E2
1.180213465E1	1.847018386E3	-6.261120482E2
1.190476190E1	1.846950630E3	-6.279031460E2
1.200738916E1	1.846581379E3	-6.290498809E2
1.211001642E1	1.846331248E3	-6.306592808E2
1.221264368E1	1.846576888E3	-6.320634731E2
1.231527094E1	1.849265625E3	-6.347671793E2
1.241789819E1	1.851307444E3	-6.383827985E2
1.252052545E1	1.852396636E3	-6.406584924E2
1.262315271E1	1.854158572E3	-6.416664552E2
1.272577997E1	1.854206248E3	-6.418431526E2
1.282840722E1	1.854219170E3	-6.409881488E2
1.293103448E1	1.855046874E3	-6.420979302E2
1.303366174E1	1.857359270E3	-6.439742183E2
