t	x	y
0.000000000E0	4.452336449E2	-6.773831776E2
1.026272578E-1	4.459841039E2	-6.807046668E2
2.052545156E-1	4.482281883E2	-6.826526507E2
3.078817734E-1	4.507081448E2	-6.860137190E2
4.105090312E-1	4.513603326E2	-6.884454443E2
5.131362890E-1	4.542136399E2	-6.887930180E2
6.157635468E-1	4.574354413E2	-6.860795152E2
7.183908046E-1	4.596297473E2	-6.860362276E2
8.210180624E-1	4.606875564E2	-6.883262788E2
9.236453202E-1	4.654116742E2	-6.936880445E2
1.026272578E0	4.655977037E2	-6.971982258E2
1.128899836E0	4.675167508E2	-7.014221886E2
1.231527094E0	4.669600357E2	-7.040015298E2
1.334154351E0	4.662593046E2	-7.071474901E2
1.436781609E0	4.676531315E2	-7.117543595E2
1.539408867E0	4.710893822E2	-7.129034780E2
1.642036125E0	4.744868970E2	-7.150499124E2
1.744663383E0	4.756151894E2	-7.195171700E2
1.847290640E0	4.767763442E2	-7.226040652E2
1.949917898E0	4.795930028E2	-7.248929200E2
2.052545156E0	4.823259472E2	-7.250172695E2
2.155172414E0	4.820446549E2	-7.249488223E2
2.257799672E0	4.841063758E2	-7.285309749E2
2.360426929E0	4.868707728E2	-7.314280950E2
2.463054187E0	4.881767263E2	-7.326318864E2
2.565681445E0	4.887276402E2	-7.355286098E2
2.668308703E0	4.890097736E2	-7.394235274E2
2.770935961E0	4.892853248E2	-7.388959269E2
2.873563218E0	4.893231633E2	-7.409424531E2
2.976190476E0	4.914700164E2	-7.411715923E2
3.078817734E0	4.947507517E2	-7.425771282E2
3.181444992E0	4.970406340E2	-7.420823946E2
3.284072250E0	5.001472623E2	-7.413226852E2
3.386699507E0	4.994815638E2	-7.427499998E2
3.489326765E0	4.983594465E2	-7.464869543E2
3.591954023E0	4.971919951E2	-7.490568122E2
3.694581281E0	4.983291793E2	-7.505199418E2
3.797208539E0	5.016615774E2	-7.504741793E2
3.899835796E0	5.032730014E2	-7.526437203E2
4.002463054E0	5.044074855E2	-7.562955338E2
4.105090312E0	5.066216648E2	-7.572896009E2
4.207717570E0	5.071266947E2	-7.600578608E2
4.310344828E0	5.092850962E2	-7.612940603E2
4.412972085E0	5.103230802E2	-7.623826312E2
4.515599343E0	5.100341678E2	-7.666821644E2
4.618226601E0	5.124763985E2	-7.692288041E2
4.720853859E0	5.138351566E2	-7.713481600E2
4.823481117E0	5.171278383E2	-7.734127616E2
4.926108374E0	5.195063732E2	-7.757712836E2
5.028735632E0	5.217574462E2	-7.795217211E2
5.131362890E0	5.220219118E2	-7.826696731E2
5.233990148E0	5.239197310E2	-7.834432411E2
5.336617406E0	5.239845337E2	-7.833109619E2
5.439244663E0	5.250848440E2	-7.842526967E2
5.541871921E0	5.263695561E2	-7.854928519E2
5.644499179E0	5.270527106E2	-7.884631089E2
5.747126437E0	5.302035658E2	-7.882619765E2
5.849753695E0	5.346002335E2	-7.873653850E2
5.952380952E0	5.325289894E2	-7.890775504E2
6.055008210E0	5.320802078E2	-7.924350509E2
6.157635468E0	5.338627880E2	-7.941195415E2
6.260262726E0	5.351477754E2	-7.956104631E2
6.362889984E0	5.362136308E2	-7.978317855E2
6.465517241E0	5.382872758E2	-7.996570132E2
6.568144499E0	5.384456554E2	-8.007256273E2
6.670771757E0	5.397777101E2	-8.001908517E2
6.773399015E0	5.414061518E2	-8.023393444E2
6.876026273E0	5.418486539E2	-8.042892864E2
6.978653530E0	5.434696820E2	-8.044996600E2
7.081280788E0	5.480372167E2	-8.042293621E2
7.183908046E0	5.517884859E2	-8.052203367E2
7.286535304E0	5.520440933E2	-8.050767572E2
7.389162562E0	5.519200617E2	-8.038446905E2
7.491789819E0	5.517190768E2	-8.025012340E2
7.594417077E0	5.526566805E2	-8.032603645E2
7.697044335E0	5.552200424E2	-8.070102965E2
7.799671593E0	5.580990811E2	-8.103548022E2
7.902298851E0	5.568359982E2	-8.141859202E2
8.004926108E0	5.579647728E2	-8.150572673E2
8.107553366E0	5.617874229E2	-8.152665351E2
8.210180624E0	5.630704089E2	-8.183858138E2
8.312807882E0	5.627730596E2	-8.215005155E2
8.415435140E0	5.636505132E2	-8.202769526E2
8.518062397E0	5.627019863E2	-8.195563217E2
8.620689655E0	5.659883122E2	-8.190074373E2
8.723316913E0	5.678306679E2	-8.183417104E2
8.825944171E0	5.710562911E2	-8.196501697E2
8.928571429E0	5.723628183E2	-8.186661635E2
9.031198686E0	5.732353269E2	-8.171447319E2
9.133825944E0	5.735649779E2	-8.148031635E2
9.236453202E0	5.742620187E2	-8.162497724E2
9.339080460E0	5.758131076E2	-8.158820637E2
9.441707718E0	5.762162991E2	-8.174484636E2
9.544334975E0	5.749528646E2	-8.206028419E2
9.646962233E0	5.763773132E2	-8.238458524E2
9.749589491E0	5.755071557E2	-8.253421543E2
9.852216749E0	5.752273933E2	-8.263708197E2
9.954844007E0	5.752812020E2	-8.282117236E2
1.005747126E1	5.757340251E2	-8.284924664E2
1.016009852E1	5.767896112E2	-8.282671069E2
1.026272578E1	5.786520445E2	-8.286221458E2
1.036535304E1	5.817703279E2	-8.295333473E2
1.046798030E1	5.822121814E2	-8.318419858E2
1.057060755E1	5.830793033E2	-8.338691588E2
1.067323481E1	5.853574231E2	-8.339440671E2
1.077586207E1	5.864521096E2	-8.365903488E2
1.087848933E1	5.886106292E2	-8.389824695E2
1.098111658E1	5.900815035E2	-8.406307780E2
1.108374384E1	5.921294085E2	-8.394514558E2
1.118637110E1	5.925565481E2	-8.396942942E2
1.128899836E1	5.940731214E2	-8.393249078E2
1.139162562E1	5.957956639E2	-8.397680088E2
1.149425287E1	5.954754515E2	-8.403848752E2
1.159688013E1	5.971807864E2	-8.421397322E2
1.169950739E1	5.984508380E2	-8.412120643E2
1.180213465E1	6.011301753E2	-8.417681413E2
1.190476190E1	6.010798837E2	-8.430397600E2
1.200738916E1	6.009583092E2	-8.460692852E2
1.211001642E1	6.003789501E2	-8.468080859E2
1.221264368E1	5.994124709E2	-8.479014876E2
1.231527094E1	6.024833496E2	-8.518965638E2
1.241789819E1	6.031547850E2	-8.531101290E2
1.252052545E1	6.050164130E2	-8.532282258E2
1.262315271E1	6.062546056E2	-8.543923693E2
1.272577997E1	6.074373189E2	-8.541318145E2
1.282840722E1	6.071937583E2	-8.528069652E2
1.293103448E1	6.055046701E2	-8.533248147E2
1.303366174E1	6.049419935E2	-8.534460254E2
