mass_B
t,x,y
0.000000000E0,1.805607477E2,-3.476635514E2
1.018952517E-1,1.805113259E2,-3.477274142E2
2.037905034E-1,1.807372153E2,-3.477765759E2
3.056857550E-1,1.815422307E2,-3.475918949E2
4.075810067E-1,1.821554426E2,-3.473160867E2
5.094762584E-1,1.823868673E2,-3.470068872E2
6.113715101E-1,1.825258475E2,-3.469873544E2
7.132667618E-1,1.826969556E2,-3.471883241E2
8.151620135E-1,1.830251371E2,-3.477452175E2
9.170572651E-1,1.826726310E2,-3.476763981E2
1.018952517E0,1.828014382E2,-3.479419399E2
1.120847768E0,1.821617815E2,-3.475532233E2
1.222743020E0,1.823988798E2,-3.476563795E2
1.324638272E0,1.829894916E2,-3.479101721E2
1.426533524E0,1.836056162E2,-3.477096119E2
1.528428775E0,1.838448124E2,-3.483032939E2
1.630324027E0,1.836482897E2,-3.485149551E2
1.732219279E0,1.830567734E2,-3.479818912E2
1.834114530E0,1.831091015E2,-3.478044937E2
1.936009782E0,1.827133004E2,-3.478205570E2
2.037905034E0,1.825381824E2,-3.477539592E2
2.139800285E0,1.824660055E2,-3.482799577E2
2.241695537E0,1.818709352E2,-3.476314875E2
2.343590789E0,1.820690015E2,-3.468588734E2
2.445486040E0,1.825350500E2,-3.466681250E2
2.547381292E0,1.825167723E2,-3.457847571E2
2.649276544E0,1.822052565E2,-3.449908123E2
2.751171795E0,1.822507785E2,-3.447857987E2
2.853067047E0,1.826905951E2,-3.445933984E2
2.954962299E0,1.835044567E2,-3.446543486E2
3.056857550E0,1.843681726E2,-3.446160409E2
3.158752802E0,1.852778996E2,-3.446129019E2
3.260648054E0,1.855861319E2,-3.445936743E2
3.362543305E0,1.856325570E2,-3.446325829E2
3.464438557E0,1.857029084E2,-3.445917950E2
3.566333809E0,1.856352359E2,-3.444831817E2
3.668229061E0,1.857375435E2,-3.439223761E2
3.770124312E0,1.855766387E2,-3.435889897E2
3.872019564E0,1.856321598E2,-3.435424596E2
3.973914816E0,1.856518507E2,-3.432984164E2
4.075810067E0,1.848081237E2,-3.435418375E2
4.177705319E0,1.845288201E2,-3.428071270E2
4.279600571E0,1.843659278E2,-3.427296170E2
4.381495822E0,1.844960237E2,-3.427362874E2
4.483391074E0,1.845134140E2,-3.425950582E2
4.585286326E0,1.843483427E2,-3.424899689E2
4.687181577E0,1.844586332E2,-3.425490894E2
4.789076829E0,1.845629213E2,-3.427623621E2
4.890972081E0,1.845481763E2,-3.431336755E2
4.992867332E0,1.846559744E2,-3.429771696E2
5.094762584E0,1.844502900E2,-3.425824095E2
5.196657836E0,1.840236289E2,-3.422235201E2
5.298553087E0,1.836062492E2,-3.418075960E2
5.400448339E0,1.833753959E2,-3.421811369E2
5.502343591E0,1.834718823E2,-3.424565953E2
5.604238842E0,1.837538174E2,-3.420073577E2
5.706134094E0,1.837235758E2,-3.416930932E2
5.808029346E0,1.836458527E2,-3.413570094E2
5.909924598E0,1.834102536E2,-3.414323798E2
6.011819849E0,1.833603270E2,-3.416924410E2
6.113715101E0,1.835664023E2,-3.414866971E2
6.215610353E0,1.836886787E2,-3.415359314E2
6.317505604E0,1.841884099E2,-3.413672398E2
6.419400856E0,1.844481741E2,-3.417605061E2
6.521296108E0,1.847329057E2,-3.417581420E2
6.623191359E0,1.855360571E2,-3.415450747E2
6.725086611E0,1.855697883E2,-3.415547748E2
6.826981863E0,1.861573009E2,-3.411780448E2
6.928877114E0,1.866535183E2,-3.414502995E2
7.030772366E0,1.866966771E2,-3.408187553E2
7.132667618E0,1.866255909E2,-3.407430563E2
7.234562869E0,1.868294519E2,-3.406150150E2
7.336458121E0,1.871385867E2,-3.408371892E2
7.438353373E0,1.872009730E2,-3.405646717E2
7.540248624E0,1.869762698E2,-3.396282992E2
7.642143876E0,1.859814277E2,-3.391119546E2
7.744039128E0,1.856193297E2,-3.386283118E2
7.845934379E0,1.855806626E2,-3.380156717E2
7.947829631E0,1.856557361E2,-3.374595955E2
8.049724883E0,1.857169140E2,-3.375972588E2
8.151620135E0,1.858098146E2,-3.376671152E2
8.253515386E0,1.859802082E2,-3.376542410E2
8.355410638E0,1.857120631E2,-3.376634564E2
8.457305890E0,1.857845904E2,-3.374718824E2
8.559201141E0,1.854639679E2,-3.367988049E2
8.661096393E0,1.853390521E2,-3.372486434E2
8.762991645E0,1.855639087E2,-3.367356982E2
8.864886896E0,1.855809362E2,-3.368219113E2
8.966782148E0,1.864244691E2,-3.367325811E2
9.068677400E0,1.868256909E2,-3.365379702E2
9.170572651E0,1.878987267E2,-3.369288460E2
9.272467903E0,1.882932284E2,-3.367445369E2
9.374363155E0,1.877789790E2,-3.367791694E2
9.476258406E0,1.875933614E2,-3.365719771E2
9.578153658E0,1.878483477E2,-3.365321593E2
9.680048910E0,1.880989719E2,-3.365080403E2
9.781944161E0,1.879808504E2,-3.365067920E2
9.883839413E0,1.876307770E2,-3.357489047E2
9.985734665E0,1.875123034E2,-3.354975501E2
1.008762992E1,1.875817218E2,-3.356488942E2
1.018952517E1,1.873344315E2,-3.355972758E2
1.029142042E1,1.864388629E2,-3.347189160E2
1.039331567E1,1.861180366E2,-3.345643464E2
1.049521092E1,1.865818561E2,-3.347675674E2
1.059710617E1,1.869484578E2,-3.353589554E2
1.069900143E1,1.875486473E2,-3.352723876E2
1.080089668E1,1.877547943E2,-3.355321855E2
1.090279193E1,1.876420527E2,-3.357095248E2
1.100468718E1,1.877119222E2,-3.361986873E2
1.110658243E1,1.886632968E2,-3.363880643E2
1.120847768E1,1.886511889E2,-3.357003568E2
1.131037294E1,1.886757633E2,-3.355638687E2
1.141226819E1,1.888104988E2,-3.350403102E2
1.151416344E1,1.886833137E2,-3.347680734E2
1.161605869E1,1.889617745E2,-3.346238830E2
1.171795394E1,1.887472831E2,-3.346580612E2
1.181984920E1,1.889982439E2,-3.347599677E2
1.192174445E1,1.891337189E2,-3.347464838E2
1.202363970E1,1.895435902E2,-3.349454749E2
1.212553495E1,1.899951010E2,-3.350457636E2
1.222743020E1,1.903398048E2,-3.352701668E2
1.232932545E1,1.906730648E2,-3.352485432E2
1.243122071E1,1.905332943E2,-3.347498209E2
1.253311596E1,1.903562590E2,-3.353966040E2
1.263501121E1,1.905641484E2,-3.350251232E2
1.273690646E1,1.914023889E2,-3.345770105E2
