mass_C
t,x,y
0.000000000E0,1.261682243E3,-6.370093458E2
1.018952517E-1,1.261655659E3,-6.369666011E2
2.037905034E-1,1.261718300E3,-6.371382562E2
3.056857550E-1,1.261389067E3,-6.371246970E2
4.075810067E-1,1.261534761E3,-6.370310169E2
5.094762584E-1,1.262584273E3,-6.370007844E2
6.113715101E-1,1.263216410E3,-6.372121976E2
7.132667618E-1,1.263143853E3,-6.371950824E2
8.151620135E-1,1.262649106E3,-6.370415559E2
9.170572651E-1,1.261949104E3,-6.377421654E2
1.018952517E0,1.261511414E3,-6.379094851E2
1.120847768E0,1.261981037E3,-6.380577443E2
1.222743020E0,1.261810547E3,-6.379742626E2
1.324638272E0,1.261791250E3,-6.380529522E2
1.426533524E0,1.261796107E3,-6.380315414E2
1.528428775E0,1.263165001E3,-6.380604478E2
1.630324027E0,1.263618215E3,-6.384971067E2
1.732219279E0,1.263770126E3,-6.381994184E2
1.834114530E0,1.264004213E3,-6.380338791E2
1.936009782E0,1.263985651E3,-6.381723589E2
2.037905034E0,1.264343811E3,-6.387213914E2
2.139800285E0,1.263535342E3,-6.384845573E2
2.241695537E0,1.262026094E3,-6.381906816E2
2.343590789E0,1.262054130E3,-6.388104911E2
2.445486040E0,1.262222183E3,-6.384565823E2
2.547381292E0,1.262561330E3,-6.389764100E2
2.649276544E0,1.262833028E3,-6.397537620E2
2.751171795E0,1.262247732E3,-6.403482418E2
2.853067047E0,1.262520252E3,-6.400935203E2
2.954962299E0,1.262836256E3,-6.398981850E2
3.056857550E0,1.263346248E3,-6.400068580E2
3.158752802E0,1.262533146E3,-6.405077959E2
3.260648054E0,1.261929968E3,-6.402759810E2
3.362543305E0,1.262729684E3,-6.401094458E2
3.464438557E0,1.263315042E3,-6.397933053E2
3.566333809E0,1.263676212E3,-6.389345131E2
3.668229061E0,1.264551703E3,-6.383636644E2
3.770124312E0,1.265418831E3,-6.378986302E2
3.872019564E0,1.266020781E3,-6.370780487E2
3.973914816E0,1.265558791E3,-6.361834803E2
4.075810067E0,1.265653253E3,-6.360506420E2
4.177705319E0,1.265688058E3,-6.360871048E2
4.279600571E0,1.265901620E3,-6.358521345E2
4.381495822E0,1.265743452E3,-6.361973420E2
4.483391074E0,1.265792987E3,-6.358536050E2
4.585286326E0,1.266548931E3,-6.359585336E2
4.687181577E0,1.265741465E3,-6.358639429E2
4.789076829E0,1.265644395E3,-6.360309802E2
4.890972081E0,1.265665974E3,-6.369065383E2
4.992867332E0,1.265285663E3,-6.370206097E2
5.094762584E0,1.264960806E3,-6.375218200E2
5.196657836E0,1.264565194E3,-6.381584276E2
5.298553087E0,1.264356307E3,-6.380366741E2
5.400448339E0,1.264750204E3,-6.375849061E2
5.502343591E0,1.265240900E3,-6.375970079E2
5.604238842E0,1.265672593E3,-6.372039755E2
5.706134094E0,1.265088927E3,-6.376019161E2
5.808029346E0,1.264839733E3,-6.379287649E2
5.909924598E0,1.264841384E3,-6.374341311E2
6.011819849E0,1.264833748E3,-6.370235062E2
6.113715101E0,1.264588549E3,-6.361751885E2
6.215610353E0,1.264640533E3,-6.359337280E2
6.317505604E0,1.264663644E3,-6.350866173E2
6.419400856E0,1.265524957E3,-6.343887868E2
6.521296108E0,1.265453898E3,-6.349455595E2
6.623191359E0,1.265584529E3,-6.350570071E2
6.725086611E0,1.265429958E3,-6.342229326E2
6.826981863E0,1.264873894E3,-6.338975485E2
6.928877114E0,1.264103584E3,-6.332344053E2
7.030772366E0,1.264144629E3,-6.330908669E2
7.132667618E0,1.263820343E3,-6.336124329E2
7.234562869E0,1.263810417E3,-6.344580879E2
7.336458121E0,1.263875936E3,-6.348787256E2
7.438353373E0,1.263717903E3,-6.352001777E2
7.540248624E0,1.263729448E3,-6.349741701E2
7.642143876E0,1.263848272E3,-6.351522835E2
7.744039128E0,1.264247032E3,-6.358775244E2
7.845934379E0,1.264855396E3,-6.359328987E2
7.947829631E0,1.265810867E3,-6.360167908E2
8.049724883E0,1.266783004E3,-6.361151370E2
8.151620135E0,1.267598988E3,-6.358115098E2
8.253515386E0,1.268305669E3,-6.359281718E2
8.355410638E0,1.268150832E3,-6.364473842E2
8.457305890E0,1.267731323E3,-6.373046863E2
8.559201141E0,1.267656008E3,-6.371359808E2
8.661096393E0,1.266843564E3,-6.367995140E2
8.762991645E0,1.266890168E3,-6.360552073E2
8.864886896E0,1.267602135E3,-6.360846532E2
8.966782148E0,1.267604243E3,-6.367381720E2
9.068677400E0,1.267829633E3,-6.371759764E2
9.170572651E0,1.267769002E3,-6.363306372E2
9.272467903E0,1.267629972E3,-6.362673574E2
9.374363155E0,1.267387369E3,-6.364872909E2
9.476258406E0,1.267667856E3,-6.359183744E2
9.578153658E0,1.267576847E3,-6.358935679E2
9.680048910E0,1.267467978E3,-6.358431230E2
9.781944161E0,1.267505080E3,-6.360390962E2
9.883839413E0,1.267384862E3,-6.361019529E2
9.985734665E0,1.267352779E3,-6.368391109E2
1.008762992E1,1.267671129E3,-6.369794846E2
1.018952517E1,1.267718681E3,-6.373101624E2
1.029142042E1,1.268422684E3,-6.369937373E2
1.039331567E1,1.268637440E3,-6.367554783E2
1.049521092E1,1.268662140E3,-6.369034679E2
1.059710617E1,1.268610180E3,-6.368843188E2
1.069900143E1,1.268493514E3,-6.370799456E2
1.080089668E1,1.267833523E3,-6.369826338E2
1.090279193E1,1.267859919E3,-6.362789069E2
1.100468718E1,1.268669336E3,-6.363062632E2
1.110658243E1,1.268623074E3,-6.368311481E2
1.120847768E1,1.269223633E3,-6.371019992E2
1.131037294E1,1.268806760E3,-6.369957674E2
1.141226819E1,1.268420438E3,-6.374091792E2
1.151416344E1,1.267737279E3,-6.373646844E2
1.161605869E1,1.267998501E3,-6.373489307E2
1.171795394E1,1.267750958E3,-6.371897158E2
1.181984920E1,1.268052322E3,-6.378619882E2
1.192174445E1,1.268566267E3,-6.378060948E2
1.202363970E1,1.269320570E3,-6.377080766E2
1.212553495E1,1.269776168E3,-6.370239507E2
1.222743020E1,1.270060845E3,-6.367513093E2
1.232932545E1,1.270609974E3,-6.367632012E2
1.243122071E1,1.270643172E3,-6.379199265E2
1.253311596E1,1.269994282E3,-6.379294383E2
1.263501121E1,1.269647243E3,-6.372053020E2
1.273690646E1,1.270190303E3,-6.369259199E2
