mass_D
t,x,y
0.000000000E0,1.021682243E3,-1.330093458E3
1.024380250E-1,1.021620798E3,-1.329812667E3
2.048760500E-1,1.021514251E3,-1.329204282E3
3.073140750E-1,1.021032482E3,-1.329344063E3
4.097521000E-1,1.021327463E3,-1.329126337E3
5.121901250E-1,1.021716787E3,-1.329128315E3
6.146281500E-1,1.021859053E3,-1.329079301E3
7.170661750E-1,1.022538377E3,-1.328914333E3
8.195042000E-1,1.022495928E3,-1.329087910E3
9.219422250E-1,1.021778470E3,-1.329293746E3
1.024380250E0,1.021747897E3,-1.329927088E3
1.126818275E0,1.021616016E3,-1.330164991E3
1.229256300E0,1.021844687E3,-1.330081754E3
1.331694325E0,1.022437197E3,-1.330073100E3
1.434132350E0,1.021823482E3,-1.330167634E3
1.536570375E0,1.021519313E3,-1.330260283E3
1.639008400E0,1.021605701E3,-1.330134493E3
1.741446425E0,1.021543666E3,-1.330087580E3
1.843884450E0,1.021284936E3,-1.329788525E3
1.946322475E0,1.021611739E3,-1.329435974E3
2.048760500E0,1.021749128E3,-1.329351481E3
2.151198525E0,1.022135607E3,-1.329310344E3
2.253636550E0,1.022465429E3,-1.329297266E3
2.356074575E0,1.021964522E3,-1.329113092E3
2.458512600E0,1.022116503E3,-1.329153697E3
2.560950625E0,1.021869182E3,-1.329194505E3
2.663388650E0,1.022742403E3,-1.330041155E3
2.765826675E0,1.023645552E3,-1.330321629E3
2.868264700E0,1.023967229E3,-1.330839332E3
2.970702725E0,1.023939496E3,-1.331139300E3
3.073140750E0,1.024541855E3,-1.331082873E3
3.175578775E0,1.024059155E3,-1.330509075E3
3.278016800E0,1.023638680E3,-1.330175170E3
3.380454825E0,1.023784292E3,-1.330052935E3
3.482892850E0,1.023729353E3,-1.330317104E3
3.585330875E0,1.023824551E3,-1.330237626E3
3.687768900E0,1.023720899E3,-1.330313697E3
3.790206925E0,1.022790395E3,-1.330037010E3
3.892644950E0,1.022500312E3,-1.329854020E3
3.995082975E0,1.022684633E3,-1.330238595E3
4.097521000E0,1.022650649E3,-1.330122946E3
4.199959025E0,1.022386127E3,-1.330631104E3
4.302397050E0,1.022542705E3,-1.330813668E3
4.404835075E0,1.022767541E3,-1.330290372E3
4.507273100E0,1.022604285E3,-1.330483950E3
4.609711125E0,1.022589428E3,-1.330750559E3
4.712149150E0,1.023634822E3,-1.330895670E3
4.814587175E0,1.023580568E3,-1.330123837E3
4.917025200E0,1.024064685E3,-1.329728186E3
5.019463225E0,1.023563408E3,-1.329931366E3
5.121901250E0,1.022788823E3,-1.329242242E3
5.224339275E0,1.022622500E3,-1.329130408E3
5.326777300E0,1.022330600E3,-1.329472009E3
5.429215325E0,1.022013748E3,-1.330105677E3
5.531653350E0,1.021869702E3,-1.330250904E3
5.634091375E0,1.021839322E3,-1.330093262E3
5.736529400E0,1.022095990E3,-1.330205495E3
5.838967425E0,1.022514355E3,-1.329914214E3
5.941405450E0,1.022719537E3,-1.329250352E3
6.043843475E0,1.023052309E3,-1.329673202E3
6.146281500E0,1.023633570E3,-1.329949728E3
6.248719525E0,1.023612509E3,-1.330009941E3
6.351157550E0,1.023760386E3,-1.329194802E3
6.453595575E0,1.024403627E3,-1.329364529E3
6.556033600E0,1.023979025E3,-1.329128754E3
6.658471625E0,1.023749659E3,-1.329212824E3
6.760909650E0,1.024042668E3,-1.329795925E3
6.863347675E0,1.023657555E3,-1.330188579E3
6.965785700E0,1.024509949E3,-1.330119167E3
7.068223725E0,1.024744963E3,-1.329429722E3
7.170661750E0,1.025515057E3,-1.329067505E3
7.273099775E0,1.025756795E3,-1.328886836E3
7.375537800E0,1.026313163E3,-1.329024922E3
7.477975825E0,1.026752508E3,-1.328991455E3
7.580413850E0,1.027078132E3,-1.328601298E3
7.682851875E0,1.026967853E3,-1.328820072E3
7.785289900E0,1.027793311E3,-1.328832371E3
7.887727925E0,1.028590448E3,-1.328868527E3
7.990165950E0,1.028663357E3,-1.329135826E3
8.092603975E0,1.028738532E3,-1.329179463E3
8.195042000E0,1.028965124E3,-1.328937612E3
8.297480025E0,1.029376432E3,-1.328541487E3
8.399918050E0,1.028815405E3,-1.329114837E3
8.502356075E0,1.028585951E3,-1.329802336E3
8.604794100E0,1.028508762E3,-1.330076257E3
8.707232125E0,1.028738792E3,-1.330305412E3
8.809670150E0,1.028931917E3,-1.330820189E3
8.912108175E0,1.029014209E3,-1.330803363E3
9.014546200E0,1.028993825E3,-1.330579733E3
9.116984225E0,1.028718183E3,-1.330266585E3
9.219422250E0,1.028541958E3,-1.330036475E3
9.321860275E0,1.028871132E3,-1.329956049E3
9.424298300E0,1.029398137E3,-1.330279577E3
9.526736325E0,1.029733738E3,-1.330076631E3
9.629174350E0,1.030096632E3,-1.329992065E3
9.731612375E0,1.030799377E3,-1.329524555E3
9.834050400E0,1.031899278E3,-1.329256142E3
9.936488425E0,1.032387453E3,-1.329216494E3
1.003892645E1,1.033384871E3,-1.329097057E3
1.014136447E1,1.034070873E3,-1.328951894E3
1.024380250E1,1.033682179E3,-1.329056583E3
1.034624052E1,1.033689824E3,-1.328887970E3
1.044867855E1,1.033508029E3,-1.328461814E3
1.055111657E1,1.033711349E3,-1.328901745E3
1.065355460E1,1.034552422E3,-1.328951934E3
1.075599262E1,1.035692447E3,-1.328999529E3
1.085843065E1,1.035843081E3,-1.328850802E3
1.096086867E1,1.036401212E3,-1.328841282E3
1.106330670E1,1.036618578E3,-1.328912592E3
1.116574472E1,1.036616195E3,-1.328819496E3
1.126818275E1,1.036884456E3,-1.329170497E3
1.137062077E1,1.037805828E3,-1.328562482E3
1.147305880E1,1.038405266E3,-1.328968124E3
1.157549682E1,1.038923703E3,-1.329032160E3
1.167793485E1,1.039071048E3,-1.329008091E3
1.178037287E1,1.039627622E3,-1.328991911E3
1.188281090E1,1.039890394E3,-1.329293560E3
1.198524892E1,1.040506772E3,-1.329648896E3
1.208768695E1,1.041561443E3,-1.329957082E3
1.219012497E1,1.042037384E3,-1.330131091E3
1.229256300E1,1.041969334E3,-1.330465578E3
1.239500102E1,1.042326175E3,-1.330615729E3
