t,x,y
0.000000000E0,-8.287850467E2,-3.028037383E2
1.031778787E-1,-8.286370856E2,-3.029052628E2
2.063557573E-1,-8.285422017E2,-3.031322444E2
3.095336360E-1,-8.284595989E2,-3.029931569E2
4.127115147E-1,-8.286586225E2,-3.033369297E2
5.158893933E-1,-8.286486977E2,-3.035215034E2
6.190672720E-1,-8.287255510E2,-3.035823336E2
7.222451506E-1,-8.285665498E2,-3.036975604E2
8.254230293E-1,-8.285368628E2,-3.035598133E2
9.286009080E-1,-8.281501664E2,-3.038398035E2
1.031778787E0,-8.278442621E2,-3.040943292E2
1.134956665E0,-8.277358125E2,-3.039176907E2
1.238134544E0,-8.277500219E2,-3.044930934E2
1.341312423E0,-8.277853692E2,-3.048307317E2
1.444490301E0,-8.278589975E2,-3.048376958E2
1.547668180E0,-8.278014433E2,-3.047346427E2
1.650846059E0,-8.277480621E2,-3.047601428E2
1.754023937E0,-8.277136762E2,-3.048403620E2
1.857201816E0,-8.276937017E2,-3.048782599E2
1.960379695E0,-8.277159400E2,-3.049460403E2
2.063557573E0,-8.277638244E2,-3.054932397E2
2.166735452E0,-8.277759424E2,-3.057493165E2
2.269913331E0,-8.277380650E2,-3.057641097E2
2.373091209E0,-8.270570982E2,-3.057474920E2
2.476269088E0,-8.269536968E2,-3.056584916E2
2.579446967E0,-8.269986145E2,-3.055697276E2
2.682624845E0,-8.268542700E2,-3.057378610E2
2.785802724E0,-8.267093054E2,-3.057365200E2
2.888980603E0,-8.267343186E2,-3.057420655E2
2.992158481E0,-8.265793068E2,-3.058494318E2
3.095336360E0,-8.260862074E2,-3.059568625E2
3.198514239E0,-8.260615197E2,-3.058649726E2
3.301692117E0,-8.262206168E2,-3.057733380E2
3.404869996E0,-8.259860563E2,-3.057775907E2
3.508047875E0,-8.258307433E2,-3.059584921E2
3.611225753E0,-8.257515181E2,-3.061823441E2
3.714403632E0,-8.257397552E2,-3.064439242E2
3.817581511E0,-8.254096829E2,-3.068028405E2
3.920759389E0,-8.249074890E2,-3.068812351E2
4.023937268E0,-8.247464684E2,-3.069679381E2
4.127115147E0,-8.247208033E2,-3.071024041E2
4.230293025E0,-8.247219821E2,-3.075364567E2
4.333470904E0,-8.245401198E2,-3.078043329E2
4.436648783E0,-8.241224436E2,-3.078391018E2
4.539826661E0,-8.238790945E2,-3.080801227E2
4.643004540E0,-8.239256884E2,-3.085176043E2
4.746182418E0,-8.238120714E2,-3.087671174E2
4.849360297E0,-8.237393186E2,-3.088490895E2
4.952538176E0,-8.237509214E2,-3.089184324E2
5.055716054E0,-8.237480774E2,-3.089954340E2
5.158893933E0,-8.238197958E2,-3.091496450E2
5.262071812E0,-8.237640689E2,-3.090301433E2
5.365249690E0,-8.237911495E2,-3.089205923E2
5.468427569E0,-8.238116705E2,-3.094729336E2
5.571605448E0,-8.236868057E2,-3.097591928E2
5.674783326E0,-8.237285193E2,-3.097582123E2
5.777961205E0,-8.238269313E2,-3.097981619E2
5.881139084E0,-8.237930000E2,-3.098022346E2
5.984316962E0,-8.237112516E2,-3.099072603E2
6.087494841E0,-8.237336464E2,-3.098474877E2
6.190672720E0,-8.236815983E2,-3.098585285E2
6.293850598E0,-8.233909823E2,-3.099078332E2
6.397028477E0,-8.229500167E2,-3.100799410E2
6.500206356E0,-8.228819590E2,-3.102647095E2
6.603384234E0,-8.228605545E2,-3.104644078E2
6.706562113E0,-8.225590106E2,-3.104983609E2
6.809739992E0,-8.221522179E2,-3.099883332E2
6.912917870E0,-8.221951478E2,-3.098853259E2
7.016095749E0,-8.218137660E2,-3.099279825E2
7.119273628E0,-8.218043405E2,-3.099374097E2
7.222451506E0,-8.218213871E2,-3.101378964E2
7.325629385E0,-8.219114688E2,-3.105312655E2
7.428807264E0,-8.217647680E2,-3.107807762E2
7.531985142E0,-8.216189367E2,-3.109157240E2
7.635163021E0,-8.210850807E2,-3.111614443E2
7.738340900E0,-8.207375711E2,-3.110826084E2
7.841518778E0,-8.207556389E2,-3.109975760E2
7.944696657E0,-8.205475228E2,-3.113220778E2
8.047874536E0,-8.207376376E2,-3.117934656E2
8.151052414E0,-8.207048826E2,-3.120140753E2
8.254230293E0,-8.208215876E2,-3.119949875E2
8.357408172E0,-8.207879998E2,-3.123525463E2
8.460586050E0,-8.207635314E2,-3.127174823E2
8.563763929E0,-8.206931295E2,-3.128205366E2
8.666941808E0,-8.205711672E2,-3.129157821E2
8.770119686E0,-8.206052796E2,-3.129528263E2
8.873297565E0,-8.206595476E2,-3.129110010E2
8.976475444E0,-8.207162088E2,-3.128952293E2
9.079653322E0,-8.206117170E2,-3.130770647E2
9.182831201E0,-8.199485729E2,-3.132249882E2
9.286009080E0,-8.198454574E2,-3.135338633E2
9.389186958E0,-8.199059974E2,-3.138179768E2
9.492364837E0,-8.196866702E2,-3.138616529E2
9.595542716E0,-8.196311029E2,-3.145243849E2
9.698720594E0,-8.196015507E2,-3.146165632E2
9.801898473E0,-8.196771505E2,-3.145871511E2
9.905076352E0,-8.193305988E2,-3.149138247E2
1.000825423E1,-8.189005274E2,-3.149940148E2
1.011143211E1,-8.187276575E2,-3.148633827E2
1.021460999E1,-8.187294016E2,-3.149113825E2
1.031778787E1,-8.187610872E2,-3.148514810E2
