t,x,y
0.000000000E0,-3.644859813E2,-4.485981308E2
1.031778787E-1,-3.644230669E2,-4.486024460E2
2.063557573E-1,-3.644766140E2,-4.486530855E2
3.095336360E-1,-3.643955362E2,-4.492370353E2
4.127115147E-1,-3.636331793E2,-4.494017652E2
5.158893933E-1,-3.636567422E2,-4.494497923E2
6.190672720E-1,-3.636659600E2,-4.494241721E2
7.222451506E-1,-3.635898781E2,-4.495171276E2
8.254230293E-1,-3.633838906E2,-4.495950526E2
9.286009080E-1,-3.632065648E2,-4.497151798E2
1.031778787E0,-3.631485182E2,-4.497392877E2
1.134956665E0,-3.631990649E2,-4.497169599E2
1.238134544E0,-3.628365930E2,-4.496269270E2
1.341312423E0,-3.626471671E2,-4.496428088E2
1.444490301E0,-3.626288532E2,-4.497247009E2
1.547668180E0,-3.625092955E2,-4.496422814E2
1.650846059E0,-3.624828909E2,-4.497235356E2
1.754023937E0,-3.625754309E2,-4.499683252E2
1.857201816E0,-3.627727189E2,-4.503908917E2
1.960379695E0,-3.624845584E2,-4.506279495E2
2.063557573E0,-3.624458684E2,-4.507707170E2
2.166735452E0,-3.622737199E2,-4.509691653E2
2.269913331E0,-3.624999142E2,-4.511177375E2
2.373091209E0,-3.625308169E2,-4.514692657E2
2.476269088E0,-3.628124960E2,-4.515802976E2
2.579446967E0,-3.629333601E2,-4.516259883E2
2.682624845E0,-3.626889930E2,-4.516239507E2
2.785802724E0,-3.625187898E2,-4.516524592E2
2.888980603E0,-3.625639050E2,-4.517458646E2
2.992158481E0,-3.624935684E2,-4.517955080E2
3.095336360E0,-3.624755824E2,-4.517307761E2
3.198514239E0,-3.624122464E2,-4.517086267E2
3.301692117E0,-3.624600179E2,-4.518080355E2
3.404869996E0,-3.623380548E2,-4.519898450E2
3.508047875E0,-3.623573273E2,-4.521043219E2
3.611225753E0,-3.623925439E2,-4.523176743E2
3.714403632E0,-3.623811478E2,-4.525745504E2
3.817581511E0,-3.618383208E2,-4.525337986E2
3.920759389E0,-3.619449165E2,-4.524204004E2
4.023937268E0,-3.621155551E2,-4.525012145E2
4.127115147E0,-3.622743522E2,-4.526072550E2
4.230293025E0,-3.619946398E2,-4.525418392E2
4.333470904E0,-3.616507723E2,-4.525888413E2
4.436648783E0,-3.615543607E2,-4.526789301E2
4.539826661E0,-3.616553431E2,-4.527126894E2
4.643004540E0,-3.616087578E2,-4.529131825E2
4.746182418E0,-3.615437208E2,-4.527894786E2
4.849360297E0,-3.616029024E2,-4.528064110E2
4.952538176E0,-3.615794765E2,-4.529851483E2
5.055716054E0,-3.614235389E2,-4.530121945E2
5.158893933E0,-3.610419941E2,-4.533689382E2
5.262071812E0,-3.606350856E2,-4.535342292E2
5.365249690E0,-3.605821266E2,-4.536507781E2
5.468427569E0,-3.604718852E2,-4.536848027E2
5.571605448E0,-3.604105318E2,-4.536417044E2
5.674783326E0,-3.604128139E2,-4.536046011E2
5.777961205E0,-3.603284157E2,-4.537106209E2
5.881139084E0,-3.602488165E2,-4.537299958E2
5.984316962E0,-3.603584981E2,-4.537930660E2
6.087494841E0,-3.604963618E2,-4.538578218E2
6.190672720E0,-3.606038721E2,-4.542863512E2
6.293850598E0,-3.605802546E2,-4.545059781E2
6.397028477E0,-3.609232379E2,-4.545163575E2
6.500206356E0,-3.606892384E2,-4.546175354E2
6.603384234E0,-3.605056414E2,-4.547209884E2
6.706562113E0,-3.604807181E2,-4.547019163E2
6.809739992E0,-3.606026239E2,-4.552628434E2
6.912917870E0,-3.605146120E2,-4.555906287E2
7.016095749E0,-3.605003721E2,-4.556230564E2
7.119273628E0,-3.604509588E2,-4.559166187E2
7.222451506E0,-3.604482495E2,-4.561480596E2
7.325629385E0,-3.604353464E2,-4.565321678E2
7.428807264E0,-3.604893790E2,-4.565458624E2
7.531985142E0,-3.604609618E2,-4.565723435E2
7.635163021E0,-3.603887840E2,-4.566081620E2
7.738340900E0,-3.602321936E2,-4.567706583E2
7.841518778E0,-3.603506489E2,-4.568164785E2
7.944696657E0,-3.598536422E2,-4.569268939E2
8.047874536E0,-3.594999708E2,-4.568141598E2
8.151052414E0,-3.593521349E2,-4.568429281E2
8.254230293E0,-3.593268330E2,-4.569194444E2
8.357408172E0,-3.592495282E2,-4.568831607E2
8.460586050E0,-3.592162051E2,-4.567870421E2
8.563763929E0,-3.592628801E2,-4.568635715E2
8.666941808E0,-3.590275120E2,-4.567607514E2
8.770119686E0,-3.587382222E2,-4.568695949E2
8.873297565E0,-3.587176116E2,-4.571924224E2
8.976475444E0,-3.586544992E2,-4.573235318E2
9.079653322E0,-3.586357007E2,-4.574909443E2
9.182831201E0,-3.586251931E2,-4.575032992E2
9.286009080E0,-3.584745516E2,-4.576132787E2
9.389186958E0,-3.584278307E2,-4.575155441E2
9.492364837E0,-3.582513403E2,-4.575089292E2
9.595542716E0,-3.584099761E2,-4.575654800E2
9.698720594E0,-3.584497965E2,-4.575845235E2
9.801898473E0,-3.584073067E2,-4.577121537E2
9.905076352E0,-3.582979643E2,-4.577482774E2
1.000825423E1,-3.583913603E2,-4.581212132E2
1.011143211E1,-3.583890235E2,-4.585637711E2
1.021460999E1,-3.583355039E2,-4.587065222E2
1.031778787E1,-3.581402627E2,-4.586256647E2
