t,x,y
0.000000000E0,-1.201121495E3,2.736448598E2
1.031778787E-1,-1.201008121E3,2.737055615E2
2.063557573E-1,-1.200597734E3,2.736307144E2
3.095336360E-1,-1.200184032E3,2.736671642E2
4.127115147E-1,-1.200239103E3,2.735610424E2
5.158893933E-1,-1.200227829E3,2.734548601E2
6.190672720E-1,-1.200278794E3,2.732875182E2
7.222451506E-1,-1.200280242E3,2.732695338E2
8.254230293E-1,-1.200090838E3,2.733213832E2
9.286009080E-1,-1.200057359E3,2.734012504E2
1.031778787E0,-1.199921076E3,2.734501856E2
1.134956665E0,-1.199401538E3,2.730575060E2
1.238134544E0,-1.199174526E3,2.726607956E2
1.341312423E0,-1.199150346E3,2.726049840E2
1.444490301E0,-1.199076760E3,2.725636403E2
1.547668180E0,-1.199078647E3,2.726107915E2
1.650846059E0,-1.199135997E3,2.723719213E2
1.754023937E0,-1.199114670E3,2.717370554E2
1.857201816E0,-1.198575417E3,2.715844664E2
1.960379695E0,-1.198204194E3,2.716594879E2
2.063557573E0,-1.198094214E3,2.715968498E2
2.166735452E0,-1.197996960E3,2.715383878E2
2.269913331E0,-1.197746539E3,2.714539385E2
2.373091209E0,-1.197965606E3,2.716087782E2
2.476269088E0,-1.197999541E3,2.714175984E2
2.579446967E0,-1.197843029E3,2.709962806E2
2.682624845E0,-1.198020470E3,2.707797493E2
2.785802724E0,-1.198085980E3,2.707895555E2
2.888980603E0,-1.198164270E3,2.708474267E2
2.992158481E0,-1.198158337E3,2.707118453E2
3.095336360E0,-1.198249578E3,2.706453197E2
3.198514239E0,-1.198076871E3,2.706700565E2
3.301692117E0,-1.197795265E3,2.708285132E2
3.404869996E0,-1.197984390E3,2.707188005E2
3.508047875E0,-1.198100273E3,2.705954038E2
3.611225753E0,-1.198006149E3,2.706313537E2
3.714403632E0,-1.197392741E3,2.706466729E2
3.817581511E0,-1.197294187E3,2.705927314E2
3.920759389E0,-1.197359550E3,2.705622496E2
4.023937268E0,-1.197307779E3,2.705822814E2
4.127115147E0,-1.197220183E3,2.706061922E2
4.230293025E0,-1.197105028E3,2.706715113E2
4.333470904E0,-1.197104896E3,2.706277696E2
4.436648783E0,-1.196980219E3,2.704762641E2
4.539826661E0,-1.196693442E3,2.703152207E2
4.643004540E0,-1.196913790E3,2.703774554E2
4.746182418E0,-1.196878856E3,2.700925061E2
4.849360297E0,-1.196810902E3,2.696742453E2
4.952538176E0,-1.196783171E3,2.696297687E2
5.055716054E0,-1.196446020E3,2.695715600E2
5.158893933E0,-1.196324602E3,2.692898226E2
5.262071812E0,-1.196198001E3,2.695014509E2
5.365249690E0,-1.196180010E3,2.694744219E2
5.468427569E0,-1.196163167E3,2.693446877E2
5.571605448E0,-1.196138210E3,2.695049991E2
5.674783326E0,-1.196023523E3,2.695550548E2
5.777961205E0,-1.195315005E3,2.694849743E2
5.881139084E0,-1.195074210E3,2.694959561E2
5.984316962E0,-1.195118509E3,2.693373607E2
6.087494841E0,-1.195152438E3,2.690874727E2
6.190672720E0,-1.195048938E3,2.688994948E2
6.293850598E0,-1.195023089E3,2.687454142E2
6.397028477E0,-1.194960389E3,2.687938566E2
6.500206356E0,-1.194951319E3,2.687715220E2
6.603384234E0,-1.194639155E3,2.687680557E2
6.706562113E0,-1.194408785E3,2.687542867E2
6.809739992E0,-1.194488885E3,2.686806536E2
6.912917870E0,-1.194376846E3,2.687038010E2
7.016095749E0,-1.194160554E3,2.686266099E2
7.119273628E0,-1.194109120E3,2.684502856E2
7.222451506E0,-1.194088449E3,2.685171244E2
7.325629385E0,-1.193979127E3,2.680543577E2
7.428807264E0,-1.194100659E3,2.677439753E2
7.531985142E0,-1.194122458E3,2.676746195E2
7.635163021E0,-1.193988782E3,2.676785025E2
7.738340900E0,-1.193348489E3,2.676940372E2
7.841518778E0,-1.193257649E3,2.675844412E2
7.944696657E0,-1.193173347E3,2.676351381E2
8.047874536E0,-1.193121849E3,2.675784270E2
8.151052414E0,-1.193050980E3,2.675079201E2
8.254230293E0,-1.192975274E3,2.675573920E2
8.357408172E0,-1.193039039E3,2.673256369E2
8.460586050E0,-1.193006515E3,2.669803200E2
8.563763929E0,-1.192995607E3,2.667166914E2
8.666941808E0,-1.192866276E3,2.665476102E2
8.770119686E0,-1.192907326E3,2.666136749E2
8.873297565E0,-1.192955568E3,2.666456422E2
8.976475444E0,-1.192938450E3,2.666470076E2
9.079653322E0,-1.192556835E3,2.664801578E2
9.182831201E0,-1.192174557E3,2.665288131E2
9.286009080E0,-1.192177545E3,2.665780674E2
9.389186958E0,-1.192117192E3,2.666580067E2
9.492364837E0,-1.192112967E3,2.666286903E2
9.595542716E0,-1.192073121E3,2.665903385E2
9.698720594E0,-1.191957724E3,2.665752778E2
9.801898473E0,-1.191704469E3,2.664993891E2
9.905076352E0,-1.192093828E3,2.662825420E2
1.000825423E1,-1.192058077E3,2.658038581E2
1.011143211E1,-1.192102427E3,2.656562643E2
1.021460999E1,-1.192086274E3,2.656767237E2
1.031778787E1,-1.192013447E3,2.656645588E2
