mass_A
t,x,y
0.000000000E0,5.685981308E2,-1.215700935E3
1.019783806E-1,5.684683856E2,-1.215646263E3
2.039567612E-1,5.685131844E2,-1.215728828E3
3.059351417E-1,5.683979613E2,-1.215513019E3
4.079135223E-1,5.685029375E2,-1.215483443E3
5.098919029E-1,5.684783237E2,-1.215428691E3
6.118702835E-1,5.685357382E2,-1.215540862E3
7.138486641E-1,5.684121207E2,-1.215361318E3
8.158270447E-1,5.685619328E2,-1.215507915E3
9.178054252E-1,5.685708329E2,-1.214855090E3
1.019783806E0,5.686023686E2,-1.214788029E3
1.121762186E0,5.684890809E2,-1.214765468E3
1.223740567E0,5.684344157E2,-1.214822571E3
1.325718948E0,5.685290020E2,-1.215088894E3
1.427697328E0,5.682709806E2,-1.214732829E3
1.529675709E0,5.684984797E2,-1.214875141E3
1.631654089E0,5.686230399E2,-1.214761887E3
1.733632470E0,5.686387464E2,-1.214711162E3
1.835610850E0,5.693493890E2,-1.214664135E3
1.937589231E0,5.695859755E2,-1.214741528E3
2.039567612E0,5.695991766E2,-1.214756680E3
2.141545992E0,5.697255823E2,-1.215098270E3
2.243524373E0,5.700077201E2,-1.215073344E3
2.345502753E0,5.696487608E2,-1.214738834E3
2.447481134E0,5.695617625E2,-1.214685255E3
2.549459515E0,5.695784520E2,-1.214770006E3
2.651437895E0,5.696172094E2,-1.215103675E3
2.753416276E0,5.695996283E2,-1.214741106E3
2.855394656E0,5.694876048E2,-1.214675701E3
2.957373037E0,5.694120098E2,-1.214674382E3
3.059351417E0,5.694936969E2,-1.214546952E3
3.161329798E0,5.695764367E2,-1.214490014E3
3.263308179E0,5.696109769E2,-1.214578953E3
3.365286559E0,5.696316232E2,-1.214733340E3
3.467264940E0,5.697648306E2,-1.214748004E3
3.569243320E0,5.698198141E2,-1.214639465E3
3.671221701E0,5.697155151E2,-1.214520185E3
3.773200082E0,5.696102137E2,-1.214629996E3
3.875178462E0,5.696402960E2,-1.214618709E3
3.977156843E0,5.697211676E2,-1.214553067E3
4.079135223E0,5.702829301E2,-1.213777168E3
4.181113604E0,5.704554779E2,-1.213737699E3
4.283091984E0,5.706079085E2,-1.213778775E3
4.385070365E0,5.705043548E2,-1.213729663E3
4.487048746E0,5.698415244E2,-1.213745690E3
4.589027126E0,5.699088192E2,-1.213719279E3
4.691005507E0,5.697738786E2,-1.213761000E3
4.792983887E0,5.697251816E2,-1.213775533E3
4.894962268E0,5.698373412E2,-1.213773569E3
4.996940649E0,5.697517864E2,-1.213685440E3
5.098919029E0,5.699119333E2,-1.213607178E3
5.200897410E0,5.697207371E2,-1.213595121E3
5.302875790E0,5.695896431E2,-1.213673651E3
5.404854171E0,5.695739473E2,-1.213649366E3
5.506832551E0,5.696275745E2,-1.213551943E3
5.608810932E0,5.695204207E2,-1.213443265E3
5.710789313E0,5.696116132E2,-1.213104677E3
5.812767693E0,5.696248245E2,-1.212960105E3
5.914746074E0,5.695931169E2,-1.213034635E3
6.016724454E0,5.696195838E2,-1.212989984E3
6.118702835E0,5.697228668E2,-1.212980920E3
6.220681216E0,5.698924688E2,-1.212881383E3
6.322659596E0,5.697338498E2,-1.212749163E3
6.424637977E0,5.695854654E2,-1.212668297E3
6.526616357E0,5.695506624E2,-1.212686069E3
6.628594738E0,5.694635669E2,-1.212635945E3
6.730573118E0,5.695549282E2,-1.212709330E3
6.832551499E0,5.695829235E2,-1.212699613E3
6.934529880E0,5.696040607E2,-1.212753125E3
7.036508260E0,5.697225473E2,-1.212980430E3
7.138486641E0,5.696364660E2,-1.213428046E3
7.240465021E0,5.702497574E2,-1.213619058E3
7.342443402E0,5.705591721E2,-1.213688113E3
7.444421783E0,5.703647656E2,-1.213551728E3
7.546400163E0,5.702680327E2,-1.213451335E3
7.648378544E0,5.698451215E2,-1.213557543E3
7.750356924E0,5.696986034E2,-1.213669403E3
7.852335305E0,5.696431392E2,-1.213637106E3
7.954313685E0,5.696376537E2,-1.213559914E3
8.056292066E0,5.697857626E2,-1.213681845E3
8.158270447E0,5.697411999E2,-1.213742764E3
8.260248827E0,5.698437756E2,-1.213802168E3
8.362227208E0,5.697584697E2,-1.213671230E3
8.464205588E0,5.699269828E2,-1.213678356E3
8.566183969E0,5.698074509E2,-1.213676539E3
8.668162350E0,5.697482295E2,-1.213729080E3
8.770140730E0,5.695900743E2,-1.213729979E3
8.872119111E0,5.694835146E2,-1.213665781E3
8.974097491E0,5.694114806E2,-1.213484178E3
9.076075872E0,5.695290368E2,-1.213578682E3
9.178054252E0,5.696007226E2,-1.213099257E3
9.280032633E0,5.696331465E2,-1.212882817E3
9.382011014E0,5.696139215E2,-1.212816016E3
9.483989394E0,5.696910254E2,-1.212729468E3
