t,x,y
0.000000000E0,4.026168224E2,1.143925234E2
1.020408163E-1,4.003738318E2,1.188785047E2
2.040816327E-1,4.000601790E2,1.178054097E2
3.061224490E-1,3.995283732E2,1.187026715E2
4.081632653E-1,3.988074071E2,1.189731283E2
5.102040816E-1,3.985840547E2,1.188704126E2
6.122448980E-1,3.982558357E2,1.189584556E2
7.142857143E-1,3.986054145E2,1.189531947E2
8.163265306E-1,4.001573881E2,1.189117293E2
9.183673469E-1,4.001773668E2,1.190286087E2
1.020408163E0,4.007408375E2,1.193302114E2
1.122448980E0,4.005528945E2,1.191203096E2
1.224489796E0,4.004498394E2,1.189864164E2
1.326530612E0,4.004174384E2,1.189700996E2
1.428571429E0,3.996025385E2,1.196362802E2
1.530612245E0,4.003592879E2,1.192017960E2
1.632653061E0,4.004245913E2,1.188179372E2
1.734693878E0,4.008868023E2,1.186856254E2
1.836734694E0,4.003755842E2,1.179262284E2
1.938775510E0,4.003399135E2,1.177690031E2
2.040816327E0,4.011005279E2,1.169547765E2
2.142857143E0,4.013999726E2,1.178065374E2
2.244897959E0,4.012074709E2,1.176807165E2
2.346938776E0,4.010271460E2,1.177842923E2
2.448979592E0,4.007785664E2,1.177885561E2
2.551020408E0,4.002340550E2,1.169037009E2
2.653061224E0,4.002494100E2,1.158922326E2
2.755102041E0,3.987034390E2,1.158135232E2
2.857142857E0,3.983499655E2,1.158631334E2
2.959183673E0,3.993473007E2,1.149101896E2
3.061224490E0,4.000990032E2,1.148614700E2
3.163265306E0,4.003424433E2,1.148429334E2
3.265306122E0,4.002994630E2,1.157667963E2
3.367346939E0,4.003809598E2,1.165799069E2
3.469387755E0,4.002977387E2,1.169108727E2
3.571428571E0,3.996382074E2,1.169189624E2
3.673469388E0,3.989206447E2,1.176349756E2
3.775510204E0,3.984814462E2,1.177161145E2
3.877551020E0,3.983536467E2,1.167528090E2
3.979591837E0,3.983795010E2,1.166487227E2
4.081632653E0,3.982324017E2,1.161914171E2
4.183673469E0,3.973155121E2,1.157546824E2
4.285714286E0,3.972779565E2,1.158653649E2
4.387755102E0,3.968284432E2,1.159405624E2
4.489795918E0,3.966864900E2,1.160556542E2
4.591836735E0,3.965287755E2,1.168754463E2
4.693877551E0,3.962548259E2,1.168787115E2
4.795918367E0,3.954777462E2,1.167976542E2
4.897959184E0,3.963217344E2,1.163079222E2
5.000000000E0,3.964386198E2,1.168544519E2
5.102040816E0,3.966646526E2,1.178495003E2
5.204081633E0,3.964403275E2,1.169630020E2
5.306122449E0,3.955653446E2,1.158434899E2
5.408163265E0,3.962886945E2,1.158795637E2
5.510204082E0,3.963530689E2,1.159134739E2
5.612244898E0,3.963390487E2,1.159205156E2
5.714285714E0,3.955705261E2,1.160782097E2
5.816326531E0,3.954033545E2,1.158264660E2
5.918367347E0,3.966848026E2,1.158641853E2
6.020408163E0,3.964246250E2,1.167039505E2
6.122448980E0,3.970933305E2,1.165499064E2
6.224489796E0,3.982793097E2,1.168697670E2
6.326530612E0,3.976104041E2,1.169267090E2
6.428571429E0,3.971862242E2,1.165645716E2
6.530612245E0,3.983885617E2,1.158667660E2
6.632653061E0,4.001138848E2,1.162281113E2
6.734693878E0,4.004839115E2,1.168601916E2
6.836734694E0,4.010382573E2,1.161180165E2
6.938775510E0,4.009857399E2,1.159318272E2
7.040816327E0,4.017348097E2,1.168866490E2
7.142857143E0,4.029668211E2,1.170562059E2
7.244897959E0,4.036132034E2,1.169655184E2
7.346938776E0,4.031762344E2,1.171579351E2
7.448979592E0,4.034443890E2,1.169456046E2
7.551020408E0,4.043005222E2,1.167426490E2
