t,x,y
0.000000000E0,4.250467290E2,-1.592523364E2
1.020408163E-1,4.272897196E2,-1.592523364E2
2.040816327E-1,4.281648692E2,-1.592553808E2
3.061224490E-1,4.283151848E2,-1.592983923E2
4.081632653E-1,4.281912895E2,-1.593366242E2
5.102040816E-1,4.278687787E2,-1.601838007E2
6.122448980E-1,4.278193064E2,-1.602260923E2
7.142857143E-1,4.272960685E2,-1.598556216E2
8.163265306E-1,4.272280838E2,-1.594442074E2
9.183673469E-1,4.273506319E2,-1.585813215E2
1.020408163E0,4.279939762E2,-1.587396784E2
1.122448980E0,4.282549682E2,-1.586627410E2
1.224489796E0,4.289246103E2,-1.590890935E2
1.326530612E0,4.292570247E2,-1.591674233E2
1.428571429E0,4.296988330E2,-1.593177867E2
1.530612245E0,4.302543094E2,-1.601412457E2
1.632653061E0,4.301767086E2,-1.604418355E2
1.734693878E0,4.296057091E2,-1.599418789E2
1.836734694E0,4.291365427E2,-1.602509962E2
1.938775510E0,4.295975920E2,-1.598860062E2
2.040816327E0,4.296497016E2,-1.593331267E2
2.142857143E0,4.301135944E2,-1.593041023E2
2.244897959E0,4.303296767E2,-1.582562823E2
2.346938776E0,4.303595420E2,-1.576278610E2
2.448979592E0,4.312902054E2,-1.580836225E2
2.551020408E0,4.310183570E2,-1.590290842E2
2.653061224E0,4.296590691E2,-1.591967628E2
2.755102041E0,4.302012152E2,-1.596548724E2
2.857142857E0,4.321811230E2,-1.592908311E2
2.959183673E0,4.330576478E2,-1.597029652E2
3.061224490E0,4.334300309E2,-1.602556217E2
3.163265306E0,4.343783784E2,-1.603403150E2
3.265306122E0,4.343569693E2,-1.607113555E2
3.367346939E0,4.339044580E2,-1.604954953E2
3.469387755E0,4.346718347E2,-1.610964479E2
3.571428571E0,4.345353677E2,-1.603324095E2
3.673469388E0,4.350625588E2,-1.611613362E2
3.775510204E0,4.351763549E2,-1.608289737E2
3.877551020E0,4.345445692E2,-1.603815416E2
3.979591837E0,4.349173061E2,-1.603464330E2
4.081632653E0,4.352176353E2,-1.603769524E2
4.183673469E0,4.354509583E2,-1.611115543E2
4.285714286E0,4.353997424E2,-1.603205079E2
4.387755102E0,4.353969195E2,-1.600117691E2
4.489795918E0,4.358090282E2,-1.604868761E2
4.591836735E0,4.361200719E2,-1.603613160E2
4.693877551E0,4.361085887E2,-1.600093855E2
4.795918367E0,4.352295020E2,-1.586881985E2
4.897959184E0,4.351257712E2,-1.582834888E2
5.000000000E0,4.343471530E2,-1.574844378E2
5.102040816E0,4.350262177E2,-1.573038026E2
5.204081633E0,4.350910999E2,-1.571792047E2
5.306122449E0,4.350989548E2,-1.572541954E2
5.408163265E0,4.349483417E2,-1.571861619E2
5.510204082E0,4.349863818E2,-1.571239381E2
5.612244898E0,4.352549013E2,-1.568916272E2
5.714285714E0,4.344306140E2,-1.564842256E2
5.816326531E0,4.341239851E2,-1.562506693E2
5.918367347E0,4.344211813E2,-1.562500936E2
6.020408163E0,4.346549369E2,-1.553313586E2
6.122448980E0,4.353211545E2,-1.549811114E2
6.224489796E0,4.360104788E2,-1.560551187E2
6.326530612E0,4.363493848E2,-1.561627993E2
6.428571429E0,4.364968823E2,-1.563684004E2
6.530612245E0,4.362121431E2,-1.563029735E2
6.632653061E0,4.352481883E2,-1.560993080E2
6.734693878E0,4.351873070E2,-1.563042803E2
6.836734694E0,4.353020278E2,-1.563946892E2
6.938775510E0,4.362578164E2,-1.564281990E2
7.040816327E0,4.372228701E2,-1.562990785E2
7.142857143E0,4.374296212E2,-1.562425630E2
7.244897959E0,4.381786671E2,-1.570647707E2
7.346938776E0,4.381945250E2,-1.573551046E2
7.448979592E0,4.374085649E2,-1.566919767E2
7.551020408E0,4.373687794E2,-1.561628304E2
7.653061224E0,4.376270935E2,-1.558515870E2
7.755102041E0,4.373099076E2,-1.552148263E2
7.857142857E0,4.372547286E2,-1.549142689E2
7.959183673E0,4.370665095E2,-1.552399961E2
8.061224490E0,4.361138654E2,-1.554243994E2
8.163265306E0,4.354510123E2,-1.545529291E2
8.265306122E0,4.353311010E2,-1.536913724E2
8.367346939E0,4.354884133E2,-1.534322840E2
8.469387755E0,4.353833618E2,-1.534389803E2
8.571428571E0,4.354047021E2,-1.541414064E2
8.673469388E0,4.362836827E2,-1.542600244E2
8.775510204E0,4.368979570E2,-1.536828068E2
8.877551020E0,4.373630645E2,-1.531439650E2
8.979591837E0,4.371523707E2,-1.533412978E2
9.081632653E0,4.372608166E2,-1.532569914E2
9.183673469E0,4.372700902E2,-1.532304930E2
9.285714286E0,4.370353161E2,-1.533777874E2
9.387755102E0,4.373445589E2,-1.531629445E2
9.489795918E0,4.371366197E2,-1.533127722E2
9.591836735E0,4.364222112E2,-1.531285174E2
9.693877551E0,4.373311675E2,-1.533329022E2
9.795918367E0,4.379743660E2,-1.531784022E2
9.897959184E0,4.383557406E2,-1.532600320E2
1.000000000E1,4.391427039E2,-1.532143222E2
1.010204082E1,4.391541267E2,-1.528412102E2
1.020408163E1,4.391305402E2,-1.532122799E2
1.030612245E1,4.401294821E2,-1.531483897E2
1.040816327E1,4.401541256E2,-1.532313147E2
1.051020408E1,4.397323766E2,-1.539024695E2
1.061224490E1,4.388382034E2,-1.541466862E2
1.071428571E1,4.384274700E2,-1.536889968E2
1.081632653E1,4.382126880E2,-1.541979987E2
1.091836735E1,4.381221166E2,-1.541455155E2
1.102040816E1,4.382467247E2,-1.538233350E2
1.112244898E1,4.386111446E2,-1.539844250E2
1.122448980E1,4.384893412E2,-1.542225586E2
1.132653061E1,4.386429600E2,-1.542509219E2
1.142857143E1,4.382807991E2,-1.542275007E2
1.153061224E1,4.383020135E2,-1.539703427E2
1.163265306E1,4.381886172E2,-1.542728984E2
1.173469388E1,4.380382213E2,-1.543588176E2
1.183673469E1,4.383150231E2,-1.551207725E2
1.193877551E1,4.382494623E2,-1.546385336E2
1.204081633E1,4.381126426E2,-1.542816545E2
1.214285714E1,4.382200244E2,-1.531955476E2
1.224489796E1,4.383161208E2,-1.522172285E2
1.234693878E1,4.383212666E2,-1.522220888E2
1.244897959E1,4.382031569E2,-1.519988194E2
1.255102041E1,4.375255038E2,-1.514455727E2
1.265306122E1,4.383575539E2,-1.521422754E2
1.275510204E1,4.387535767E2,-1.529994577E2
1.285714286E1,4.383648231E2,-1.533133400E2
1.295918367E1,4.386969762E2,-1.527728427E2
1.306122449E1,4.384334765E2,-1.531882411E2
1.316326531E1,4.384418229E2,-1.534920227E2
1.326530612E1,4.392711533E2,-1.543808532E2
1.336734694E1,4.402273905E2,-1.554887214E2
1.346938776E1,4.404504504E2,-1.552839024E2
1.357142857E1,4.413125162E2,-1.552449004E2
1.367346939E1,4.413974456E2,-1.551478825E2
1.377551020E1,4.412662923E2,-1.551732298E2
1.387755102E1,4.404924356E2,-1.553158290E2
1.397959184E1,4.413143041E2,-1.543298373E2
1.408163265E1,4.413535016E2,-1.542443499E2
1.418367347E1,4.403407818E2,-1.543204402E2
1.428571429E1,4.405458848E2,-1.543218962E2
1.438775510E1,4.410190559E2,-1.547249601E2
1.448979592E1,4.423274746E2,-1.545472371E2
1.459183673E1,4.432861406E2,-1.548850426E2
1.469387755E1,4.424907939E2,-1.554730562E2
1.479591837E1,4.429802726E2,-1.561851860E2
1.489795918E1,4.441320734E2,-1.558256007E2
1.500000000E1,4.451696701E2,-1.561941923E2
1.510204082E1,4.451019437E2,-1.556285150E2
1.520408163E1,4.447709906E2,-1.542300419E2
1.530612245E1,4.450841982E2,-1.540183432E2
1.540816327E1,4.454674232E2,-1.531537350E2
1.551020408E1,4.454310408E2,-1.529832749E2
1.561224490E1,4.453642658E2,-1.529182746E2
1.571428571E1,4.453299412E2,-1.529614186E2
1.581632653E1,4.447567481E2,-1.532464067E2
1.591836735E1,4.442151028E2,-1.529553438E2
1.602040816E1,4.439084495E2,-1.522578939E2
1.612244898E1,4.438563090E2,-1.514854145E2
1.622448980E1,4.447980281E2,-1.510254426E2
1.632653061E1,4.448614450E2,-1.511072211E2
1.642857143E1,4.442438999E2,-1.511488866E2
1.653061224E1,4.441944406E2,-1.513052217E2
1.663265306E1,4.452517600E2,-1.511855221E2
1.673469388E1,4.454225591E2,-1.511589439E2
1.683673469E1,4.452460571E2,-1.515685819E2
1.693877551E1,4.455283263E2,-1.514625148E2
1.704081633E1,4.462742424E2,-1.513085570E2
1.714285714E1,4.465915787E2,-1.514824530E2
1.724489796E1,4.472826895E2,-1.523613389E2
1.734693878E1,4.481688245E2,-1.526914490E2
1.744897959E1,4.486021074E2,-1.523912378E2
1.755102041E1,4.484523045E2,-1.523900315E2
1.765306122E1,4.484772071E2,-1.523943867E2
1.775510204E1,4.489917900E2,-1.530427469E2
1.785714286E1,4.485741341E2,-1.531748786E2
1.795918367E1,4.484243238E2,-1.531409607E2
1.806122449E1,4.481603067E2,-1.538659559E2
1.816326531E1,4.482708865E2,-1.540822826E2
1.826530612E1,4.482457488E2,-1.533617722E2
1.836734694E1,4.482472987E2,-1.532430898E2
1.846938776E1,4.474896513E2,-1.532825859E2
1.857142857E1,4.472576140E2,-1.533396245E2
1.867346939E1,4.471307673E2,-1.544596117E2
1.877551020E1,4.474339004E2,-1.545414082E2
1.887755102E1,4.476118503E2,-1.543579304E2
1.897959184E1,4.481330665E2,-1.548239273E2
1.908163265E1,4.484535394E2,-1.540409973E2
1.918367347E1,4.480023325E2,-1.540698742E2
1.928571429E1,4.474965554E2,-1.541010465E2
1.938775510E1,4.473620467E2,-1.538662475E2
1.948979592E1,4.474259069E2,-1.551396779E2
1.959183673E1,4.480476361E2,-1.552640295E2
1.969387755E1,4.489981405E2,-1.544142400E2
1.979591837E1,4.484833062E2,-1.546894341E2
1.989795918E1,4.492237173E2,-1.550962317E2
2.000000000E1,4.492426000E2,-1.552406275E2
2.010204082E1,4.493498981E2,-1.548392814E2
2.020408163E1,4.496731694E2,-1.539681649E2
2.030612245E1,4.496174457E2,-1.534349927E2
2.040816327E1,4.500114858E2,-1.542479939E2
2.051020408E1,4.502843821E2,-1.545449706E2
2.061224490E1,4.503736262E2,-1.544975803E2
