t,x,y
0.000000000E0,-2.130841121E1,-5.114018692E2
1.020408163E-1,-2.130841121E1,-5.114018692E2
2.040816327E-1,-2.127320740E1,-5.114553861E2
3.061224490E-1,-2.035890246E1,-5.114000200E2
4.081632653E-1,-1.963595444E1,-5.115495806E2
5.102040816E-1,-1.887107675E1,-5.119672881E2
6.122448980E-1,-1.824775808E1,-5.126446792E2
7.142857143E-1,-1.727604927E1,-5.135549192E2
8.163265306E-1,-1.564189350E1,-5.143509769E2
9.183673469E-1,-1.505401775E1,-5.143411226E2
1.020408163E0,-1.529407140E1,-5.135850682E2
1.122448980E0,-1.419416372E1,-5.133450684E2
1.224489796E0,-1.305945165E1,-5.132116883E2
1.326530612E0,-1.318229509E1,-5.134394114E2
1.428571429E0,-1.323762782E1,-5.134412099E2
1.530612245E0,-1.299234921E1,-5.133139505E2
1.632653061E0,-1.337134154E1,-5.124413158E2
1.734693878E0,-1.513298407E1,-5.124968020E2
1.836734694E0,-1.457949898E1,-5.124849387E2
1.938775510E0,-1.273178479E1,-5.123765470E2
2.040816327E0,-1.224617630E1,-5.124391079E2
2.142857143E0,-1.258928974E1,-5.125281580E2
2.244897959E0,-1.244872143E1,-5.124869317E2
2.346938776E0,-1.158278871E1,-5.132577767E2
2.448979592E0,-1.072741579E1,-5.133241678E2
2.551020408E0,-1.044477807E1,-5.124525528E2
2.653061224E0,-9.597657103E0,-5.129969114E2
2.755102041E0,-8.401505426E0,-5.131624693E2
2.857142857E0,-9.090579916E0,-5.139081185E2
2.959183673E0,-9.247270075E0,-5.154698037E2
3.061224490E0,-8.371868590E0,-5.158404321E2
3.163265306E0,-8.255620984E0,-5.152028617E2
3.265306122E0,-8.251859614E0,-5.142464143E2
3.367346939E0,-8.376977750E0,-5.144057882E2
3.469387755E0,-8.472953701E0,-5.144104037E2
3.571428571E0,-9.225738246E0,-5.145073810E2
3.673469388E0,-8.522951090E0,-5.154497138E2
3.775510204E0,-8.263838020E0,-5.164474927E2
3.877551020E0,-8.271103946E0,-5.165533399E2
3.979591837E0,-8.408281269E0,-5.164624265E2
4.081632653E0,-7.649010686E0,-5.164292554E2
4.183673469E0,-7.036629891E0,-5.154188597E2
4.285714286E0,-7.405720463E0,-5.154229007E2
4.387755102E0,-7.497445446E0,-5.154087874E2
4.489795918E0,-7.333415151E0,-5.154576722E2
4.591836735E0,-6.944833030E0,-5.154024037E2
4.693877551E0,-7.297195020E0,-5.153006742E2
4.795918367E0,-8.145070503E0,-5.154691286E2
4.897959184E0,-8.216418921E0,-5.162807008E2
5.000000000E0,-8.518643873E0,-5.161005865E2
5.102040816E0,-9.876779506E0,-5.156440146E2
5.204081633E0,-9.194103864E0,-5.152956689E2
5.306122449E0,-8.947119504E0,-5.149151767E2
5.408163265E0,-9.261301880E0,-5.154957915E2
5.510204082E0,-8.896106415E0,-5.155333107E2
5.612244898E0,-7.569111727E0,-5.150877170E2
5.714285714E0,-8.112947522E0,-5.153238087E2
5.816326531E0,-7.312925992E0,-5.156933359E2
5.918367347E0,-7.170113461E0,-5.154069526E2
6.020408163E0,-7.204051399E0,-5.154169656E2
6.122448980E0,-6.461816234E0,-5.163091881E2
6.224489796E0,-6.196108880E0,-5.159875857E2
6.326530612E0,-5.571057269E0,-5.153501637E2
6.428571429E0,-5.333887477E0,-5.154837097E2
6.530612245E0,-6.288483331E0,-5.152847820E2
6.632653061E0,-6.035695457E0,-5.149458145E2
6.734693878E0,-6.177315834E0,-5.139587562E2
6.836734694E0,-5.698960257E0,-5.126168847E2
6.938775510E0,-5.262613552E0,-5.123363635E2
7.040816327E0,-3.905519932E0,-5.114166849E2
7.142857143E0,-2.540398337E0,-5.112216384E2
