t,x,y
0.00E+00,1.10E+03,4.93E+01
1.02E-01,1.10E+03,4.93E+01
2.04E-01,1.10E+03,5.02E+01
3.06E-01,1.10E+03,4.97E+01
4.08E-01,1.10E+03,4.98E+01
5.10E-01,1.10E+03,5.04E+01
6.12E-01,1.10E+03,5.02E+01
7.14E-01,1.10E+03,5.03E+01
8.16E-01,1.10E+03,5.10E+01
9.18E-01,1.10E+03,5.15E+01
1.02E+00,1.10E+03,5.15E+01
1.12E+00,1.10E+03,5.14E+01
1.22E+00,1.10E+03,5.18E+01
1.33E+00,1.10E+03,5.14E+01
1.43E+00,1.10E+03,5.21E+01
1.53E+00,1.10E+03,5.26E+01
1.63E+00,1.10E+03,5.33E+01
1.73E+00,1.10E+03,5.33E+01
1.84E+00,1.10E+03,5.33E+01
1.94E+00,1.10E+03,5.42E+01
2.04E+00,1.10E+03,5.42E+01
2.14E+00,1.11E+03,5.34E+01
2.24E+00,1.11E+03,5.37E+01
2.35E+00,1.11E+03,5.51E+01
2.45E+00,1.11E+03,5.56E+01
2.55E+00,1.10E+03,5.63E+01
2.65E+00,1.10E+03,5.64E+01
2.76E+00,1.11E+03,5.63E+01
2.86E+00,1.11E+03,5.65E+01
2.96E+00,1.11E+03,5.76E+01
3.06E+00,1.11E+03,5.85E+01
3.16E+00,1.11E+03,5.83E+01
3.27E+00,1.11E+03,5.71E+01
3.37E+00,1.11E+03,5.72E+01
3.47E+00,1.11E+03,5.65E+01
3.57E+00,1.11E+03,5.76E+01
3.67E+00,1.11E+03,5.84E+01
3.78E+00,1.11E+03,5.83E+01
3.88E+00,1.11E+03,5.75E+01
3.98E+00,1.11E+03,5.82E+01
4.08E+00,1.11E+03,5.79E+01
4.18E+00,1.10E+03,5.70E+01
4.29E+00,1.11E+03,5.60E+01
4.39E+00,1.11E+03,5.52E+01
4.49E+00,1.10E+03,5.51E+01
4.59E+00,1.10E+03,5.53E+01
4.69E+00,1.10E+03,5.64E+01
4.80E+00,1.10E+03,5.63E+01
4.90E+00,1.10E+03,5.51E+01
5.00E+00,1.10E+03,5.51E+01
5.10E+00,1.10E+03,5.53E+01
5.20E+00,1.10E+03,5.46E+01
5.31E+00,1.10E+03,5.55E+01
5.41E+00,1.11E+03,5.61E+01
5.51E+00,1.10E+03,5.65E+01
5.61E+00,1.10E+03,5.72E+01
5.71E+00,1.10E+03,5.63E+01
5.82E+00,1.10E+03,5.63E+01
5.92E+00,1.10E+03,5.66E+01
6.02E+00,1.10E+03,5.64E+01
6.12E+00,1.10E+03,5.64E+01
6.22E+00,1.10E+03,5.63E+01
6.33E+00,1.10E+03,5.69E+01
6.43E+00,1.10E+03,5.73E+01
6.53E+00,1.10E+03,5.67E+01
6.63E+00,1.10E+03,5.66E+01
6.73E+00,1.10E+03,5.69E+01
6.84E+00,1.10E+03,5.75E+01
6.94E+00,1.10E+03,5.77E+01
7.04E+00,1.11E+03,5.70E+01
7.14E+00,1.11E+03,5.71E+01
7.24E+00,1.11E+03,5.64E+01
7.35E+00,1.11E+03,5.60E+01
7.45E+00,1.11E+03,5.53E+01
7.55E+00,1.11E+03,5.54E+01
7.65E+00,1.11E+03,5.53E+01
7.76E+00,1.11E+03,5.41E+01
7.86E+00,1.11E+03,5.42E+01
7.96E+00,1.11E+03,5.25E+01
8.06E+00,1.11E+03,5.24E+01
8.16E+00,1.11E+03,5.26E+01
8.27E+00,1.11E+03,5.25E+01
8.37E+00,1.11E+03,5.37E+01
8.47E+00,1.11E+03,5.46E+01
8.57E+00,1.11E+03,5.53E+01
8.67E+00,1.11E+03,5.64E+01
8.78E+00,1.11E+03,5.64E+01
8.88E+00,1.11E+03,5.70E+01
8.98E+00,1.11E+03,5.73E+01
9.08E+00,1.11E+03,5.75E+01
9.18E+00,1.11E+03,5.85E+01
9.29E+00,1.11E+03,5.83E+01
9.39E+00,1.11E+03,5.81E+01
9.49E+00,1.11E+03,5.81E+01
9.59E+00,1.11E+03,5.73E+01
9.69E+00,1.11E+03,5.63E+01
9.80E+00,1.11E+03,5.63E+01
9.90E+00,1.11E+03,5.63E+01
1.00E+01,1.11E+03,5.59E+01
1.01E+01,1.11E+03,5.56E+01
1.02E+01,1.11E+03,5.63E+01
1.03E+01,1.11E+03,5.56E+01
1.04E+01,1.11E+03,5.61E+01
1.05E+01,1.11E+03,5.54E+01
1.06E+01,1.11E+03,5.54E+01
1.07E+01,1.11E+03,5.64E+01
1.08E+01,1.11E+03,5.53E+01
1.09E+01,1.11E+03,5.52E+01
1.10E+01,1.11E+03,5.52E+01
1.11E+01,1.11E+03,5.52E+01
1.12E+01,1.11E+03,5.53E+01
1.13E+01,1.11E+03,5.60E+01
1.14E+01,1.11E+03,5.54E+01
1.15E+01,1.11E+03,5.54E+01
1.16E+01,1.11E+03,5.55E+01
1.17E+01,1.12E+03,5.53E+01
1.18E+01,1.12E+03,5.59E+01
1.19E+01,1.12E+03,5.54E+01
1.20E+01,1.11E+03,5.45E+01
1.21E+01,1.12E+03,5.52E+01
1.22E+01,1.12E+03,5.54E+01
1.23E+01,1.12E+03,5.63E+01
1.24E+01,1.12E+03,5.66E+01
1.26E+01,1.12E+03,5.72E+01
1.27E+01,1.11E+03,5.64E+01
1.28E+01,1.11E+03,5.62E+01
1.29E+01,1.11E+03,5.53E+01
1.30E+01,1.11E+03,5.43E+01
1.31E+01,1.11E+03,5.33E+01
1.32E+01,1.12E+03,5.21E+01
1.33E+01,1.12E+03,5.15E+01
1.34E+01,1.12E+03,5.12E+01
1.35E+01,1.12E+03,5.05E+01
1.36E+01,1.12E+03,5.02E+01
1.37E+01,1.12E+03,5.03E+01
1.38E+01,1.12E+03,4.99E+01
1.39E+01,1.12E+03,4.99E+01
1.40E+01,1.12E+03,5.08E+01
1.41E+01,1.12E+03,5.03E+01
1.42E+01,1.12E+03,5.11E+01
1.43E+01,1.12E+03,5.20E+01
1.44E+01,1.12E+03,5.28E+01
1.45E+01,1.12E+03,5.30E+01
1.46E+01,1.12E+03,5.24E+01
1.47E+01,1.12E+03,5.22E+01
1.48E+01,1.12E+03,5.18E+01
1.49E+01,1.12E+03,5.14E+01
1.50E+01,1.12E+03,5.12E+01
1.51E+01,1.12E+03,5.22E+01
1.52E+01,1.12E+03,5.27E+01
1.53E+01,1.12E+03,5.33E+01
1.54E+01,1.12E+03,5.45E+01
1.55E+01,1.12E+03,5.45E+01
1.56E+01,1.12E+03,5.53E+01
1.57E+01,1.12E+03,5.55E+01
1.58E+01,1.12E+03,5.55E+01
1.59E+01,1.12E+03,5.48E+01
1.60E+01,1.13E+03,5.44E+01
1.61E+01,1.13E+03,5.44E+01
1.62E+01,1.13E+03,5.44E+01
1.63E+01,1.13E+03,5.40E+01
1.64E+01,1.13E+03,5.44E+01
1.65E+01,1.13E+03,5.45E+01
1.66E+01,1.13E+03,5.47E+01
1.67E+01,1.13E+03,5.47E+01
1.68E+01,1.13E+03,5.44E+01
1.69E+01,1.13E+03,5.34E+01
1.70E+01,1.13E+03,5.34E+01
1.71E+01,1.13E+03,5.32E+01
1.72E+01,1.13E+03,5.32E+01
1.73E+01,1.13E+03,5.23E+01
1.74E+01,1.13E+03,5.25E+01
1.76E+01,1.13E+03,5.30E+01
1.77E+01,1.13E+03,5.35E+01
1.78E+01,1.13E+03,5.40E+01
1.79E+01,1.13E+03,5.30E+01
1.80E+01,1.13E+03,5.29E+01
1.81E+01,1.13E+03,5.15E+01
1.82E+01,1.13E+03,5.14E+01
1.83E+01,1.13E+03,5.13E+01
1.84E+01,1.13E+03,5.04E+01
1.85E+01,1.13E+03,5.02E+01
1.86E+01,1.13E+03,5.03E+01
1.87E+01,1.13E+03,4.96E+01
1.88E+01,1.13E+03,4.95E+01
1.89E+01,1.13E+03,4.94E+01
1.90E+01,1.13E+03,4.83E+01
1.91E+01,1.13E+03,4.84E+01
1.92E+01,1.13E+03,4.93E+01
1.93E+01,1.13E+03,4.94E+01
1.94E+01,1.13E+03,4.99E+01
1.95E+01,1.13E+03,5.02E+01
1.96E+01,1.13E+03,4.85E+01
1.97E+01,1.13E+03,4.82E+01
1.98E+01,1.14E+03,4.84E+01
1.99E+01,1.14E+03,4.84E+01
2.00E+01,1.14E+03,4.78E+01
2.01E+01,1.14E+03,4.62E+01
2.02E+01,1.14E+03,4.51E+01
2.03E+01,1.14E+03,4.47E+01
2.04E+01,1.14E+03,4.42E+01
2.05E+01,1.14E+03,4.44E+01
2.06E+01,1.14E+03,4.43E+01
2.07E+01,1.14E+03,4.42E+01
2.08E+01,1.14E+03,4.31E+01
2.09E+01,1.14E+03,4.24E+01
2.10E+01,1.14E+03,4.23E+01
2.11E+01,1.14E+03,4.24E+01
2.12E+01,1.14E+03,4.22E+01
2.13E+01,1.14E+03,4.14E+01
2.14E+01,1.14E+03,4.13E+01
2.15E+01,1.14E+03,4.12E+01
2.16E+01,1.14E+03,4.10E+01
2.17E+01,1.14E+03,4.02E+01
2.18E+01,1.14E+03,3.92E+01
2.19E+01,1.14E+03,3.86E+01
2.20E+01,1.14E+03,3.85E+01
2.21E+01,1.14E+03,3.83E+01
2.22E+01,1.14E+03,3.83E+01
2.23E+01,1.14E+03,3.83E+01
2.24E+01,1.14E+03,3.77E+01
2.26E+01,1.14E+03,3.71E+01
2.27E+01,1.14E+03,3.74E+01
2.28E+01,1.14E+03,3.79E+01
2.29E+01,1.14E+03,3.88E+01
2.30E+01,1.14E+03,3.84E+01
2.31E+01,1.14E+03,3.83E+01
2.32E+01,1.14E+03,3.75E+01
2.33E+01,1.14E+03,3.74E+01
2.34E+01,1.14E+03,3.83E+01
2.35E+01,1.14E+03,3.83E+01
2.36E+01,1.14E+03,3.77E+01
2.37E+01,1.14E+03,3.64E+01
2.38E+01,1.15E+03,3.54E+01
2.39E+01,1.15E+03,3.53E+01
2.40E+01,1.15E+03,3.56E+01
2.41E+01,1.15E+03,3.54E+01
2.42E+01,1.15E+03,3.52E+01
2.43E+01,1.15E+03,3.45E+01
2.44E+01,1.15E+03,3.43E+01
2.45E+01,1.15E+03,3.43E+01
