t,x,y
0.00E+00,-2.13E+01,-5.11E+02
1.02E-01,-2.13E+01,-5.11E+02
2.04E-01,-2.13E+01,-5.11E+02
3.06E-01,-2.04E+01,-5.11E+02
4.08E-01,-1.96E+01,-5.12E+02
5.10E-01,-1.89E+01,-5.12E+02
6.12E-01,-1.82E+01,-5.13E+02
7.14E-01,-1.73E+01,-5.14E+02
8.16E-01,-1.56E+01,-5.14E+02
9.18E-01,-1.51E+01,-5.14E+02
1.02E+00,-1.53E+01,-5.14E+02
1.12E+00,-1.42E+01,-5.13E+02
1.22E+00,-1.31E+01,-5.13E+02
1.33E+00,-1.32E+01,-5.13E+02
1.43E+00,-1.32E+01,-5.13E+02
1.53E+00,-1.30E+01,-5.13E+02
1.63E+00,-1.34E+01,-5.12E+02
1.73E+00,-1.51E+01,-5.12E+02
1.84E+00,-1.46E+01,-5.12E+02
1.94E+00,-1.27E+01,-5.12E+02
2.04E+00,-1.22E+01,-5.12E+02
2.14E+00,-1.26E+01,-5.13E+02
2.24E+00,-1.24E+01,-5.12E+02
2.35E+00,-1.16E+01,-5.13E+02
2.45E+00,-1.07E+01,-5.13E+02
2.55E+00,-1.04E+01,-5.12E+02
2.65E+00,-9.60E+00,-5.13E+02
2.76E+00,-8.40E+00,-5.13E+02
2.86E+00,-9.09E+00,-5.14E+02
2.96E+00,-9.25E+00,-5.15E+02
3.06E+00,-8.37E+00,-5.16E+02
3.16E+00,-8.26E+00,-5.15E+02
3.27E+00,-8.25E+00,-5.14E+02
3.37E+00,-8.38E+00,-5.14E+02
3.47E+00,-8.47E+00,-5.14E+02
3.57E+00,-9.23E+00,-5.15E+02
3.67E+00,-8.52E+00,-5.15E+02
3.78E+00,-8.26E+00,-5.16E+02
3.88E+00,-8.27E+00,-5.17E+02
3.98E+00,-8.41E+00,-5.16E+02
4.08E+00,-7.65E+00,-5.16E+02
4.18E+00,-7.04E+00,-5.15E+02
4.29E+00,-7.41E+00,-5.15E+02
4.39E+00,-7.50E+00,-5.15E+02
4.49E+00,-7.33E+00,-5.15E+02
4.59E+00,-6.94E+00,-5.15E+02
4.69E+00,-7.30E+00,-5.15E+02
4.80E+00,-8.15E+00,-5.15E+02
4.90E+00,-8.22E+00,-5.16E+02
5.00E+00,-8.52E+00,-5.16E+02
5.10E+00,-9.88E+00,-5.16E+02
5.20E+00,-9.19E+00,-5.15E+02
5.31E+00,-8.95E+00,-5.15E+02
5.41E+00,-9.26E+00,-5.15E+02
5.51E+00,-8.90E+00,-5.16E+02
5.61E+00,-7.57E+00,-5.15E+02
5.71E+00,-8.11E+00,-5.15E+02
5.82E+00,-7.31E+00,-5.16E+02
5.92E+00,-7.17E+00,-5.15E+02
6.02E+00,-7.20E+00,-5.15E+02
6.12E+00,-6.46E+00,-5.16E+02
6.22E+00,-6.20E+00,-5.16E+02
6.33E+00,-5.57E+00,-5.15E+02
6.43E+00,-5.33E+00,-5.15E+02
6.53E+00,-6.29E+00,-5.15E+02
6.63E+00,-6.04E+00,-5.15E+02
6.73E+00,-6.18E+00,-5.14E+02
6.84E+00,-5.70E+00,-5.13E+02
6.94E+00,-5.26E+00,-5.12E+02
7.04E+00,-3.91E+00,-5.11E+02
7.14E+00,-2.54E+00,-5.11E+02
7.24E+00,-2.15E+00,-5.10E+02
7.35E+00,-1.97E+00,-5.10E+02
7.45E+00,-2.06E+00,-5.10E+02
7.55E+00,-2.52E+00,-5.09E+02
7.65E+00,-2.40E+00,-5.09E+02
7.76E+00,-1.93E+00,-5.08E+02
7.86E+00,-1.25E+00,-5.08E+02
7.96E+00,-1.23E+00,-5.08E+02
8.06E+00,-2.13E+00,-5.07E+02
8.16E+00,-2.87E+00,-5.07E+02
8.27E+00,-3.16E+00,-5.07E+02
8.37E+00,-2.21E+00,-5.06E+02
8.47E+00,-2.69E+00,-5.07E+02
8.57E+00,-3.16E+00,-5.07E+02
8.67E+00,-3.07E+00,-5.07E+02
8.78E+00,-3.35E+00,-5.06E+02
8.88E+00,-2.65E+00,-5.06E+02
8.98E+00,-2.36E+00,-5.06E+02
9.08E+00,-2.30E+00,-5.05E+02
9.18E+00,-1.43E+00,-5.06E+02
9.29E+00,-1.08E+00,-5.06E+02
9.39E+00,-4.31E-01,-5.05E+02
9.49E+00,-5.65E-01,-5.05E+02
9.59E+00,2.60E-01,-5.04E+02
9.69E+00,6.35E-01,-5.04E+02
9.80E+00,7.27E-01,-5.05E+02
9.90E+00,1.32E+00,-5.04E+02
1.00E+01,1.60E+00,-5.04E+02
1.01E+01,9.35E-01,-5.04E+02
1.02E+01,1.31E+00,-5.04E+02
1.03E+01,1.07E+00,-5.04E+02
1.04E+01,8.42E-01,-5.03E+02
1.05E+01,1.94E+00,-5.04E+02
1.06E+01,2.80E+00,-5.05E+02
1.07E+01,3.65E+00,-5.05E+02
1.08E+01,4.73E+00,-5.05E+02
1.09E+01,5.32E+00,-5.05E+02
1.10E+01,4.15E+00,-5.05E+02
1.11E+01,3.77E+00,-5.05E+02
1.12E+01,3.12E+00,-5.05E+02
1.13E+01,3.40E+00,-5.05E+02
1.14E+01,2.98E+00,-5.05E+02
1.15E+01,3.64E+00,-5.05E+02
1.16E+01,4.38E+00,-5.05E+02
1.17E+01,5.06E+00,-5.05E+02
1.18E+01,5.02E+00,-5.06E+02
1.19E+01,3.94E+00,-5.06E+02
1.20E+01,3.52E+00,-5.06E+02
1.21E+01,4.22E+00,-5.05E+02
1.22E+01,4.61E+00,-5.05E+02
1.23E+01,5.64E+00,-5.06E+02
1.24E+01,5.64E+00,-5.07E+02
1.26E+01,4.98E+00,-5.06E+02
1.27E+01,4.44E+00,-5.06E+02
1.28E+01,4.64E+00,-5.05E+02
1.29E+01,5.45E+00,-5.04E+02
1.30E+01,6.77E+00,-5.04E+02
